Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),8.0,806.0616,0.0068,Axis Mutual Fund,AXISDBF,
Sub Total,,,,3029.5847,0.0257,Axis Mutual Fund,AXISDBF,
Total,,,,91572.3964,0.7762,Axis Mutual Fund,AXISDBF,
Others,,,,,,Axis Mutual Fund,AXISDBF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISDBF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4323.366,498.6967,0.0042,Axis Mutual Fund,AXISDBF,
Sub Total,,,,498.6967,0.0042,Axis Mutual Fund,AXISDBF,
Total,,,,498.6967,0.0042,Axis Mutual Fund,AXISDBF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISDBF,
Clearing Corporation of India Ltd,,,,13893.1377,0.1178,Axis Mutual Fund,AXISDBF,
Sub Total,,,,13893.1377,0.1178,Axis Mutual Fund,AXISDBF,
Total,,,,13893.1377,0.1178,Axis Mutual Fund,AXISDBF,
Net Receivables / (Payables),,,,12013.9992,0.1018,Axis Mutual Fund,AXISDBF,
GRAND TOTAL,,,,117978.23,1,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,Benchmark Name - NIFTY COMPOSITE DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISDBF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISDBF,
Equity & Equity related,,,,,,Axis Mutual Fund,AXISEAF,
(a) Listed / awaiting listing on Stock Exchanges,,,,,,Axis Mutual Fund,AXISEAF,
Vodafone Idea Limited,INE669E01016,,272677125.0,32612.1842,0.0407,Axis Mutual Fund,AXISEAF,Telecom - Services
HDFC Bank Limited,INE040A01034,,3040400.0,29963.142,0.0374,Axis Mutual Fund,AXISEAF,Banks
Reliance Industries Limited,INE002A01018,,1433500.0,22435.7085,0.028,Axis Mutual Fund,AXISEAF,Petroleum Products
Eternal Limited,INE758T01015,,7561150.0,21628.6696,0.027,Axis Mutual Fund,AXISEAF,Retailing
ICICI Bank Limited,INE090A01021,,1274700.0,17260.7127,0.0216,Axis Mutual Fund,AXISEAF,Banks
State Bank of India,INE062A01020,,1650000.0,16174.95,0.0202,Axis Mutual Fund,AXISEAF,Banks
IDFC First Bank Limited,INE092T01019,,17084550.0,14467.1969,0.0181,Axis Mutual Fund,AXISEAF,Banks
UltraTech Cement Limited,INE481G01011,,123800.0,14232.048,0.0178,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Bank of Baroda,INE028A01039,,4267575.0,12463.4528,0.0156,Axis Mutual Fund,AXISEAF,Banks
Kotak Mahindra Bank Limited,INE237A01028,,571600.0,12343.702,0.0154,Axis Mutual Fund,AXISEAF,Banks
Aditya Birla Capital Limited,INE674K01013,,3379000.0,11782.573,0.0147,Axis Mutual Fund,AXISEAF,Finance
RBL Bank Limited,INE976G01028,,3860800.0,11592.052,0.0145,Axis Mutual Fund,AXISEAF,Banks
Tata Consultancy Services Limited,INE467B01029,,313775.0,10298.0955,0.0129,Axis Mutual Fund,AXISEAF,IT - Software
Punjab National Bank,INE160A01022,,8184000.0,9806.0688,0.0123,Axis Mutual Fund,AXISEAF,Banks
Bajaj Finance Limited,INE296A01032,,935250.0,9430.1258,0.0118,Axis Mutual Fund,AXISEAF,Finance
Godrej Properties Limited,INE484J01027,,457325.0,9351.3816,0.0117,Axis Mutual Fund,AXISEAF,Realty
Container Corporation of India Limited,INE111A01025,,1735000.0,8698.4225,0.0109,Axis Mutual Fund,AXISEAF,Transport Services
Titan Company Limited,INE280A01028,,220675.0,8672.7482,0.0108,Axis Mutual Fund,AXISEAF,Consumer Durables
Indus Towers Limited,INE121J01017,,2021300.0,8369.1927,0.0105,Axis Mutual Fund,AXISEAF,Telecom - Services
Bharti Airtel Limited,INE397D01024,,384275.0,8060.9367,0.0101,Axis Mutual Fund,AXISEAF,Telecom - Services
Shriram Finance Limited,INE721A01047,,875325.0,7892.8055,0.0099,Axis Mutual Fund,AXISEAF,Finance
GMR Airports Limited,INE776C01039,,7595775.0,7711.9904,0.0096,Axis Mutual Fund,AXISEAF,Transport Infrastructure
Grasim Industries Limited,INE047A01021,,272250.0,7657.0313,0.0096,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Mahindra & Mahindra Limited,INE101A01026,,212200.0,7646.8392,0.0096,Axis Mutual Fund,AXISEAF,Automobiles
Multi Commodity Exchange of India Limited,INE745G01035,,73125.0,7536.9938,0.0094,Axis Mutual Fund,AXISEAF,Capital Markets
DLF Limited,INE271C01023,,1089000.0,7527.168,0.0094,Axis Mutual Fund,AXISEAF,Realty
Marico Limited,INE196A01026,,966000.0,7159.992,0.0089,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products
PNB Housing Finance Limited,INE572E01012,,771550.0,7158.4409,0.0089,Axis Mutual Fund,AXISEAF,Finance
Sona BLW Precision Forgings Limited,INE073K01018,,1404375.0,6976.935,0.0087,Axis Mutual Fund,AXISEAF,Auto Components
IndusInd Bank Limited,INE095A01012,,816900.0,6900.3543,0.0086,Axis Mutual Fund,AXISEAF,Banks
Tata Power Company Limited,INE245A01021,,1671850.0,6362.2252,0.0079,Axis Mutual Fund,AXISEAF,Power
Hindalco Industries Limited,INE038A01020,,741300.0,6315.876,0.0079,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals
Aurobindo Pharma Limited,INE406A01037,,477400.0,5848.6274,0.0073,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Tata Steel Limited,INE081A01020,,3410000.0,5752.329,0.0072,Axis Mutual Fund,AXISEAF,Ferrous Metals
ITC Limited,INE154A01025,,1420800.0,5698.1184,0.0071,Axis Mutual Fund,AXISEAF,Diversified FMCG
Trent Limited,INE849A01020,,139200.0,5654.5824,0.0071,Axis Mutual Fund,AXISEAF,Retailing
Glenmark Pharmaceuticals Limited,INE935A01035,,275625.0,5490.7256,0.0069,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
JSW Steel Limited,INE019A01038,,507600.0,5480.0496,0.0068,Axis Mutual Fund,AXISEAF,Ferrous Metals
Pidilite Industries Limited,INE318A01026,,360500.0,5257.1715,0.0066,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
JSW Energy Limited,INE121E01018,,1024000.0,4897.28,0.0061,Axis Mutual Fund,AXISEAF,Power
Jio Financial Services Limited,INE758E01017,,1637950.0,4863.8925,0.0061,Axis Mutual Fund,AXISEAF,Finance
Maruti Suzuki India Limited,INE585B01010,,29150.0,4784.681,0.006,Axis Mutual Fund,AXISEAF,Automobiles
NMDC Limited,INE584A01023,,6122250.0,4671.2768,0.0058,Axis Mutual Fund,AXISEAF,Minerals & Mining
Kalyan Jewellers India Limited,INE303R01014,,952925.0,4620.2569,0.0058,Axis Mutual Fund,AXISEAF,Consumer Durables
REC Limited,INE020B01018,,1266075.0,4294.5264,0.0054,Axis Mutual Fund,AXISEAF,Finance
Vedanta Limited,INE205A01025,,717600.0,4173.5616,0.0052,Axis Mutual Fund,AXISEAF,Diversified Metals
Bharat Electronics Limited,INE263A01024,,1044525.0,4103.4165,0.0051,Axis Mutual Fund,AXISEAF,Aerospace & Defense
Divi's Laboratories Limited,INE361B01024,,62200.0,4029.627,0.005,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
APL Apollo Tubes Limited,INE702C01027,,216300.0,3936.8763,0.0049,Axis Mutual Fund,AXISEAF,Industrial Products
TVS Motor Company Limited,INE494B01023,,106225.0,3894.2085,0.0049,Axis Mutual Fund,AXISEAF,Automobiles
Dixon Technologies (India) Limited,INE935N01020,,28700.0,3807.916,0.0048,Axis Mutual Fund,AXISEAF,Consumer Durables
Tech Mahindra Limited,INE669C01036,,234000.0,3773.25,0.0047,Axis Mutual Fund,AXISEAF,IT - Software
Varun Beverages Limited,INE200M01039,,779300.0,3658.0342,0.0046,Axis Mutual Fund,AXISEAF,Beverages
Max Healthcare Institute Limited,INE027H01010,,320775.0,3450.8975,0.0043,Axis Mutual Fund,AXISEAF,Healthcare Services
LIC Housing Finance Limited,INE115A01026,,638000.0,3397.031,0.0042,Axis Mutual Fund,AXISEAF,Finance
United Spirits Limited,INE854D01024,,233600.0,3286.0512,0.0041,Axis Mutual Fund,AXISEAF,Beverages
Apollo Hospitals Enterprise Limited,INE437A01024,,46500.0,3260.8125,0.0041,Axis Mutual Fund,AXISEAF,Healthcare Services
UNO Minda Limited,INE405E01023,,254650.0,3228.4527,0.004,Axis Mutual Fund,AXISEAF,Auto Components
Life Insurance Corporation Of India,INE0J1Y01017,,373800.0,3184.776,0.004,Axis Mutual Fund,AXISEAF,Insurance
NBCC (India) Limited,INE095N01031,,2782000.0,3163.134,0.004,Axis Mutual Fund,AXISEAF,Construction
Cholamandalam Investment and Finance Company Ltd,INE121A01024,,190000.0,3131.39,0.0039,Axis Mutual Fund,AXISEAF,Finance
Britannia Industries Limited,INE216A01030,,49250.0,3005.7275,0.0038,Axis Mutual Fund,AXISEAF,Food Products
Adani Energy Solutions Limited,INE931S01010,,302400.0,2988.468,0.0037,Axis Mutual Fund,AXISEAF,Power
Bosch Limited,INE323A01026,,8075.0,2902.155,0.0036,Axis Mutual Fund,AXISEAF,Auto Components
Hero MotoCorp Limited,INE158A01026,,49350.0,2852.9235,0.0036,Axis Mutual Fund,AXISEAF,Automobiles
Samvardhana Motherson International Limited,INE775A01035,,2355450.0,2849.6234,0.0036,Axis Mutual Fund,AXISEAF,Auto Components
Crompton Greaves Consumer Electricals Limited,INE299U01018,,1087200.0,2778.8832,0.0035,Axis Mutual Fund,AXISEAF,Consumer Durables
L&T Finance Limited,INE498L01015,,910248.0,2733.4747,0.0034,Axis Mutual Fund,AXISEAF,Finance
UPL Limited,INE628A01036,,356365.0,2678.2612,0.0033,Axis Mutual Fund,AXISEAF,Fertilizers & Agrochemicals
Adani Green Energy Limited,INE364U01010,,259800.0,2652.2982,0.0033,Axis Mutual Fund,AXISEAF,Power
Adani Ports and Special Economic Zone Limited,INE742F01042,,173375.0,2594.3835,0.0032,Axis Mutual Fund,AXISEAF,Transport Infrastructure
Ambuja Cements Limited,INE079A01024,,477750.0,2578.1779,0.0032,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Lodha Developers Limited,INE670K01029,,232650.0,2536.3503,0.0032,Axis Mutual Fund,AXISEAF,Realty
Hindustan Zinc Limited,INE267A01025,,426300.0,2509.8413,0.0031,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals
IIFL Finance Limited,INE530B01024,,435600.0,2459.3976,0.0031,Axis Mutual Fund,AXISEAF,Finance
Bandhan Bank Limited,INE545U01014,,1551600.0,2328.7964,0.0029,Axis Mutual Fund,AXISEAF,Banks
Kaynes Technology India Limited,INE918Z01012,,53300.0,2230.605,0.0028,Axis Mutual Fund,AXISEAF,Industrial Manufacturing
SRF Limited,INE647A01010,,70200.0,2169.3906,0.0027,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
Yes Bank Limited,INE528G01035,,9765400.0,2119.0918,0.0026,Axis Mutual Fund,AXISEAF,Banks
BSE Limited,INE118H01025,,78000.0,2094.144,0.0026,Axis Mutual Fund,AXISEAF,Capital Markets
Nestle India Limited,INE239A01024,,167500.0,2084.37,0.0026,Axis Mutual Fund,AXISEAF,Food Products
Alkem Laboratories Limited,INE540L01014,,37375.0,2076.3681,0.0026,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Canara Bank,INE476A01022,,1363500.0,2025.8883,0.0025,Axis Mutual Fund,AXISEAF,Banks
Larsen & Toubro Limited,INE018A01030,,48650.0,1981.7578,0.0025,Axis Mutual Fund,AXISEAF,Construction
Solar Industries India Limited,INE343H01029,,16425.0,1956.3818,0.0024,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
Tata Consumer Products Limited,INE192A01025,,165000.0,1953.6,0.0024,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products
Exide Industries Limited,INE302A01020,,531000.0,1928.8575,0.0024,Axis Mutual Fund,AXISEAF,Auto Components
Bharat Dynamics Limited,INE171Z01026,,135850.0,1865.3564,0.0023,Axis Mutual Fund,AXISEAF,Aerospace & Defense
Polycab India Limited,INE455K01017,,24875.0,1850.4513,0.0023,Axis Mutual Fund,AXISEAF,Industrial Products
PB Fintech Limited,INE417T01026,,96950.0,1831.2886,0.0023,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech)
Patanjali Foods Limited,INE619A01035,,311400.0,1741.9716,0.0022,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products
Mphasis Limited,INE356A01018,,59950.0,1732.6749,0.0022,Axis Mutual Fund,AXISEAF,IT - Software
Laurus Labs Limited,INE947Q01028,,159800.0,1670.2296,0.0021,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
ICICI Prudential Life Insurance Company Limited,INE726G01019,,246975.0,1606.3254,0.002,Axis Mutual Fund,AXISEAF,Insurance
Petronet LNG Limited,INE347G01014,,578400.0,1583.9484,0.002,Axis Mutual Fund,AXISEAF,Gas
Sammaan Capital Limited,INE148I01020,,1079300.0,1565.5247,0.002,Axis Mutual Fund,AXISEAF,Finance
Bajaj Finserv Limited,INE918I01026,,74000.0,1512.412,0.0019,Axis Mutual Fund,AXISEAF,Finance
Indian Energy Exchange Limited,INE022Q01020,,1035000.0,1463.49,0.0018,Axis Mutual Fund,AXISEAF,Capital Markets
Prestige Estates Projects Limited,INE811K01011,,85950.0,1395.914,0.0017,Axis Mutual Fund,AXISEAF,Realty
HDFC Asset Management Company Limited,INE127D01025,,51000.0,1362.822,0.0017,Axis Mutual Fund,AXISEAF,Capital Markets
Hindustan Petroleum Corporation Limited,INE094A01015,,289575.0,1360.2786,0.0017,Axis Mutual Fund,AXISEAF,Petroleum Products
Power Grid Corporation of India Limited,INE752E01010,,499700.0,1316.4597,0.0016,Axis Mutual Fund,AXISEAF,Power
Hindustan Aeronautics Limited,INE066F01020,,29850.0,1285.1321,0.0016,Axis Mutual Fund,AXISEAF,Aerospace & Defense
Persistent Systems Limited,INE262H01021,,19700.0,1252.526,0.0016,Axis Mutual Fund,AXISEAF,IT - Software
The Indian Hotels Company Limited,INE053A01029,,168000.0,1228.416,0.0015,Axis Mutual Fund,AXISEAF,Leisure Services
InterGlobe Aviation Limited,INE646L01027,,23550.0,1213.6493,0.0015,Axis Mutual Fund,AXISEAF,Transport Services
Godrej Consumer Products Limited,INE102D01028,,99500.0,1180.269,0.0015,Axis Mutual Fund,AXISEAF,Personal Products
Biocon Limited,INE376G01013,,295000.0,1175.7225,0.0015,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Mazagon Dock Shipbuilders Limited,INE249Z01020,,46550.0,1121.0171,0.0014,Axis Mutual Fund,AXISEAF,Industrial Manufacturing
AU Small Finance Bank Limited,INE949L01017,,110000.0,1083.665,0.0014,Axis Mutual Fund,AXISEAF,Banks
Syngene International Limited,INE398R01022,,160000.0,1046.64,0.0013,Axis Mutual Fund,AXISEAF,Healthcare Services
One 97 Communications Limited,INE982J01020,,77575.0,1036.402,0.0013,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech)
Inox Wind Limited,INE066P01011,,787704.0,999.3601,0.0012,Axis Mutual Fund,AXISEAF,Electrical Equipment
Union Bank of India,INE692A01016,,641625.0,988.295,0.0012,Axis Mutual Fund,AXISEAF,Banks
Fortis Healthcare Limited,INE061F01013,,101525.0,904.4862,0.0011,Axis Mutual Fund,AXISEAF,Healthcare Services
Indian Bank,INE562A01011,,112000.0,875.168,0.0011,Axis Mutual Fund,AXISEAF,Banks
National Aluminium Company Limited,INE139A01034,,303750.0,845.9438,0.0011,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals
Bank of India,INE084A01016,,556400.0,796.8204,0.001,Axis Mutual Fund,AXISEAF,Banks
Max Financial Services Limited,INE180A01020,,44800.0,757.0752,0.0009,Axis Mutual Fund,AXISEAF,Insurance
HFCL Limited,INE548A01028,,1180350.0,756.8404,0.0009,Axis Mutual Fund,AXISEAF,Telecom - Services
Sun Pharmaceutical Industries Limited,INE044A01036,,43050.0,751.1795,0.0009,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
NTPC Limited,INE733E01010,,225000.0,719.775,0.0009,Axis Mutual Fund,AXISEAF,Power
The Phoenix Mills Limited,INE211B01039,,38500.0,705.0505,0.0009,Axis Mutual Fund,AXISEAF,Realty
FSN E-Commerce Ventures Limited,INE388Y01029,,281250.0,700.4531,0.0009,Axis Mutual Fund,AXISEAF,Retailing
The Federal Bank Limited,INE171A01029,,245000.0,656.2325,0.0008,Axis Mutual Fund,AXISEAF,Banks
Power Finance Corporation Limited,INE134E01011,,193700.0,656.0619,0.0008,Axis Mutual Fund,AXISEAF,Finance
Oracle Financial Services Software Limited,INE881D01027,,8025.0,627.8359,0.0008,Axis Mutual Fund,AXISEAF,IT - Software
Bharat Petroleum Corporation Limited,INE029A01011,,163925.0,599.8835,0.0007,Axis Mutual Fund,AXISEAF,Petroleum Products
Delhivery Limited,INE148O01028,,145250.0,589.6424,0.0007,Axis Mutual Fund,AXISEAF,Transport Services
Bharat Forge Limited,INE465A01025,,40500.0,583.1595,0.0007,Axis Mutual Fund,AXISEAF,Auto Components
Supreme Industries Limited,INE195A01028,,17150.0,577.6292,0.0007,Axis Mutual Fund,AXISEAF,Industrial Products
Eicher Motors Limited,INE066A01021,,7975.0,575.5558,0.0007,Axis Mutual Fund,AXISEAF,Automobiles
Cipla Limited,INE059A01026,,36750.0,557.5343,0.0007,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Shree Cement Limited,INE070A01015,,2100.0,537.6,0.0007,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Tata Motors Passenger Vehicles Limited,INE155A01022,,151200.0,533.2068,0.0007,Axis Mutual Fund,AXISEAF,Automobiles
Tube Investments of India Limited,INE974X01010,,19200.0,505.9008,0.0006,Axis Mutual Fund,AXISEAF,Auto Components
Suzlon Energy Limited,INE040H01021,,896000.0,471.2064,0.0006,Axis Mutual Fund,AXISEAF,Electrical Equipment
Zydus Lifesciences Limited,INE010B01027,,47700.0,438.6492,0.0005,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Housing & Urban Development Corporation Limited,INE031A01017,,194250.0,410.392,0.0005,Axis Mutual Fund,AXISEAF,Finance
Wipro Limited,INE075A01022,,153000.0,404.6085,0.0005,Axis Mutual Fund,AXISEAF,IT - Software
Dalmia Bharat Limited,INE00R701025,,19175.0,386.4338,0.0005,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Cyient Limited,INE136B01020,,30175.0,349.3058,0.0004,Axis Mutual Fund,AXISEAF,IT - Services
Siemens Limited,INE003A01024,,10750.0,334.497,0.0004,Axis Mutual Fund,AXISEAF,Electrical Equipment
Steel Authority of India Limited,INE114A01011,,258500.0,325.4774,0.0004,Axis Mutual Fund,AXISEAF,Ferrous Metals
Torrent Power Limited,INE813H01021,,24525.0,313.6993,0.0004,Axis Mutual Fund,AXISEAF,Power
Mankind Pharma Limited,INE634S01028,,13950.0,303.008,0.0004,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Havells India Limited,INE176B01034,,21000.0,297.549,0.0004,Axis Mutual Fund,AXISEAF,Consumer Durables
Lupin Limited,INE326A01037,,12750.0,271.0395,0.0003,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Coforge Limited,INE591G01025,,14250.0,262.9695,0.0003,Axis Mutual Fund,AXISEAF,IT - Software
Oil & Natural Gas Corporation Limited,INE213A01029,,112500.0,262.0013,0.0003,Axis Mutual Fund,AXISEAF,Oil
Cummins India Limited,INE298A01020,,5800.0,255.8032,0.0003,Axis Mutual Fund,AXISEAF,Industrial Products
HDFC Life Insurance Company Limited,INE795G01014,,31900.0,244.4976,0.0003,Axis Mutual Fund,AXISEAF,Insurance
Hitachi Energy India Limited,INE07Y701011,,1300.0,241.215,0.0003,Axis Mutual Fund,AXISEAF,Electrical Equipment
Info Edge (India) Limited,INE663F01032,,17250.0,231.288,0.0003,Axis Mutual Fund,AXISEAF,Retailing
Muthoot Finance Limited,INE414G01012,,4950.0,187.1694,0.0002,Axis Mutual Fund,AXISEAF,Finance
Indian Railway Finance Corporation Limited,INE053F01010,,161500.0,184.0777,0.0002,Axis Mutual Fund,AXISEAF,Finance
Computer Age Management Services Limited,INE596I01020,,23250.0,176.2583,0.0002,Axis Mutual Fund,AXISEAF,Capital Markets
Central Depository Services (India) Limited,INE736A01011,,11400.0,170.9544,0.0002,Axis Mutual Fund,AXISEAF,Capital Markets
Bharat Heavy Electricals Limited,INE257A01026,,60375.0,166.4841,0.0002,Axis Mutual Fund,AXISEAF,Electrical Equipment
CG Power and Industrial Solutions Limited,INE067A01029,,24650.0,165.5494,0.0002,Axis Mutual Fund,AXISEAF,Electrical Equipment
NHPC Limited,INE848E01016,,192000.0,147.0912,0.0002,Axis Mutual Fund,AXISEAF,Power
Tata Elxsi Limited,INE670A01012,,2600.0,140.751,0.0002,Axis Mutual Fund,AXISEAF,IT - Software
Nuvama Wealth Management Limited,INE531F01015,,1950.0,139.7955,0.0002,Axis Mutual Fund,AXISEAF,Capital Markets
ICICI Lombard General Insurance Company Limited,INE765G01017,,7150.0,139.7325,0.0002,Axis Mutual Fund,AXISEAF,Insurance
Jindal Steel Limited,INE749A01030,,13750.0,136.4825,0.0002,Axis Mutual Fund,AXISEAF,Ferrous Metals
Torrent Pharmaceuticals Limited,INE685A01028,,3250.0,123.5098,0.0002,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Hindustan Unilever Limited,INE030A01027,,5400.0,123.12,0.0002,Axis Mutual Fund,AXISEAF,Diversified FMCG
HCL Technologies Limited,INE860A01027,,7350.0,120.7164,0.0002,Axis Mutual Fund,AXISEAF,IT - Software
Dr. Reddy's Laboratories Limited,INE089A01031,,9375.0,119.8313,0.0001,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Manappuram Finance Limited,INE522D01027,,39000.0,114.1335,0.0001,Axis Mutual Fund,AXISEAF,Finance
NCC Limited,INE868B01028,,72900.0,113.6511,0.0001,Axis Mutual Fund,AXISEAF,Construction
LTIMindtree Limited,INE214T01019,,1800.0,111.555,0.0001,Axis Mutual Fund,AXISEAF,IT - Software
Dabur India Limited,INE016A01026,,17500.0,86.4413,0.0001,Axis Mutual Fund,AXISEAF,Personal Products
GAIL (India) Limited,INE129A01019,,50400.0,85.559,0.0001,Axis Mutual Fund,AXISEAF,Gas
Astral Limited,INE006I01046,,5950.0,84.7042,0.0001,Axis Mutual Fund,AXISEAF,Industrial Products
PG Electroplast Limited,INE457L01029,,9100.0,52.962,0.0001,Axis Mutual Fund,AXISEAF,Consumer Durables
Avenue Supermarts Limited,INE192R01011,,1200.0,45.834,0.0001,Axis Mutual Fund,AXISEAF,Retailing
Coal India Limited,INE522F01014,,10800.0,41.6448,0.0001,Axis Mutual Fund,AXISEAF,Consumable Fuels
Jubilant Foodworks Limited,INE797F01020,,6250.0,35.2313,$0.00%,Axis Mutual Fund,AXISEAF,Leisure Services
Adani Enterprises Limited,INE423A01024,,1236.0,27.674,$0.00%,Axis Mutual Fund,AXISEAF,Metals & Minerals Trading
Tata Technologies Limited,INE142M01025,,4000.0,26.168,$0.00%,Axis Mutual Fund,AXISEAF,IT - Services
Piramal Pharma Limited,INE0DK501011,,10000.0,17.128,$0.00%,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
SBI Life Insurance Company Limited,INE123W01016,,750.0,15.213,$0.00%,Axis Mutual Fund,AXISEAF,Insurance
Asian Paints Limited,INE021A01026,,250.0,6.9998,$0.00%,Axis Mutual Fund,AXISEAF,Consumer Durables
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,,875.0,5.8975,$0.00%,Axis Mutual Fund,AXISEAF,Leisure Services
360 One WAM Limited,INE466L01038,,500.0,5.6945,$0.00%,Axis Mutual Fund,AXISEAF,Capital Markets
Oil India Limited,INE274J01014,,1400.0,5.6707,$0.00%,Axis Mutual Fund,AXISEAF,Oil
Colgate Palmolive (India) Limited,INE259A01022,,225.0,4.75,$0.00%,Axis Mutual Fund,AXISEAF,Personal Products
Sub Total,,,,625567.5341,0.7816,Axis Mutual Fund,AXISEAF,
(b) Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISEAF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISEAF,
Total,,,,625567.5341,0.7816,Axis Mutual Fund,AXISEAF,
Derivatives,,,,,,Axis Mutual Fund,AXISEAF,
(a) Index / Stock Futures,,,,,,Axis Mutual Fund,AXISEAF,
Colgate Palmolive (India) Limited December 2025 Future,,,-225.0,-4.7655,$0.00%,Axis Mutual Fund,AXISEAF,
JSW Energy Limited January 2026 Future,,,-1000.0,-4.8165,$0.00%,Axis Mutual Fund,AXISEAF,
GAIL (India) Limited January 2026 Future,,,-3150.0,-5.3953,$0.00%,Axis Mutual Fund,AXISEAF,
360 One WAM Limited December 2025 Future,,,-500.0,-5.672,$0.00%,Axis Mutual Fund,AXISEAF,
Oil India Limited December 2025 Future,,,-1400.0,-5.691,$0.00%,Axis Mutual Fund,AXISEAF,
Indian Railway Catering And Tourism Corporation Limited January 2026 Future,,,-875.0,-5.9391,$0.00%,Axis Mutual Fund,AXISEAF,
Asian Paints Limited December 2025 Future,,,-250.0,-6.981,$0.00%,Axis Mutual Fund,AXISEAF,
Prestige Estates Projects Limited January 2026 Future,,,-450.0,-7.3755,$0.00%,Axis Mutual Fund,AXISEAF,
Tube Investments of India Limited January 2026 Future,,,-400.0,-10.6584,$0.00%,Axis Mutual Fund,AXISEAF,
Aditya Birla Capital Limited January 2026 Future,,,-3100.0,-10.9074,$0.00%,Axis Mutual Fund,AXISEAF,
Exide Industries Limited January 2026 Future,,,-3600.0,-13.1958,$0.00%,Axis Mutual Fund,AXISEAF,
SBI Life Insurance Company Limited January 2026 Future,,,-750.0,-15.3488,$0.00%,Axis Mutual Fund,AXISEAF,
Varun Beverages Limited January 2026 Future,,,-3375.0,-15.9789,$0.00%,Axis Mutual Fund,AXISEAF,
Mphasis Limited January 2026 Future,,,-550.0,-16.0309,$0.00%,Axis Mutual Fund,AXISEAF,
Torrent Power Limited January 2026 Future,,,-1275.0,-16.4603,$0.00%,Axis Mutual Fund,AXISEAF,
Godrej Properties Limited January 2026 Future,,,-825.0,-17.0123,$0.00%,Axis Mutual Fund,AXISEAF,
Piramal Pharma Limited December 2025 Future,,,-10000.0,-17.197,$0.00%,Axis Mutual Fund,AXISEAF,
Apollo Hospitals Enterprise Limited January 2026 Future,,,-250.0,-17.6663,$0.00%,Axis Mutual Fund,AXISEAF,
ICICI Prudential Life Insurance Company Limited January 2026 Future,,,-2775.0,-18.2082,$0.00%,Axis Mutual Fund,AXISEAF,
