Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
PNB Housing Finance Limited,INE572E01012,Finance,49057.0,466.7774,0.0013,,,Axis Mutual Fund,AXISCON,,,,,
Kwality Walls (India) Limited,INE2KCE01013,Food Products,885756.0,356.0739,0.001,,,Axis Mutual Fund,AXISCON,,,,,
Colgate Palmolive (India) Limited,INE259A01022,Personal Products,14493.0,300.8312,0.0009,,,Axis Mutual Fund,AXISCON,,,,,
NTPC Limited,INE733E01010,Power,50000.0,164.775,0.0005,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,346838.6326,0.9917,,,Axis Mutual Fund,AXISCON,,,,,
(b) Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Total,,,,346838.6326,0.9917,,,Axis Mutual Fund,AXISCON,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
(c) Preference shares,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
6% TVS Motor Co Non Conv Rede Pref Shares 01SEP26 **,INE494B04019,CARE A1+,1369212.0,139.4679,0.0004,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,139.4679,0.0004,,,Axis Mutual Fund,AXISCON,,,,,
Total,,,,139.4679,0.0004,,,Axis Mutual Fund,AXISCON,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISCON,,,,,
Clearing Corporation of India Ltd,,,,2479.01,0.0071,0.052870206901942905,,Axis Mutual Fund,AXISCON,,,,,
Sub Total,,,,2479.01,0.0071,,,Axis Mutual Fund,AXISCON,,,,,
Total,,,,2479.01,0.0071,,,Axis Mutual Fund,AXISCON,,,,,
Net Receivables / (Payables),,,,301.3995,0.0008,,,Axis Mutual Fund,AXISCON,,,,,
GRAND TOTAL,,,,349758.51,1,,,Axis Mutual Fund,AXISCON,,,,,
,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
**  Thinly Traded / Non Traded Security,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISCON,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISCON,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISCON,,,,,
,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
"Aggregate Investments by other schemes (At NAV)  as on December 31, 2025 RS 6379.99 Lakh's",,,,,,,,Axis Mutual Fund,AXISCON,,,,,
,,,,,,,,Axis Mutual Fund,AXISCON,,,,,
,Benchmark Name - NIFTY INDIA CONSUMPTION TRI,,,,,,,Axis Mutual Fund,AXISCON,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISCON,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
7.51% Maharashtra State Development Loans (24/05/2027),IN2220170020,Sovereign,48000000.0,48913.344,0.2502,0.061542,,Axis Mutual Fund,AXISCSDL,,,,,
7.52% Gujarat State Development Loans (24/05/2027),IN1520170045,Sovereign,34500000.0,35161.02,0.1798,0.061542,,Axis Mutual Fund,AXISCSDL,,,,,
7.52% Tamilnadu State Development Loans (24/05/2027),IN3120170037,Sovereign,15800000.0,16102.728,0.0824,0.061542,,Axis Mutual Fund,AXISCSDL,,,,,
7.53% Haryana State Development Loans (24/05/2027),IN1620170010,Sovereign,14300000.0,14557.686,0.0745,0.062521,,Axis Mutual Fund,AXISCSDL,,,,,
7.92% West Bangal State Development Loans (15/03/2027),IN3420160175,Sovereign,10300000.0,10514.4872,0.0538,0.061825,,Axis Mutual Fund,AXISCSDL,,,,,
7.64% West Bangal State Development Loans (29/03/2027),IN3420160183,Sovereign,7500000.0,7636.275,0.0391,0.061825,,Axis Mutual Fund,AXISCSDL,,,,,
7.52% Uttar Pradesh State Development Loans (24/05/2027),IN3320170043,Sovereign,6300000.0,6419.0196,0.0328,0.061748,,Axis Mutual Fund,AXISCSDL,,,,,
7.59% Karnataka State Development Loans (29/03/2027),IN1920160125,Sovereign,6200000.0,6316.7832,0.0323,0.060746,,Axis Mutual Fund,AXISCSDL,,,,,
8.31% Rajasthan State Development Loans (08/04/2027),IN2920200036,Sovereign,6000000.0,6157.674,0.0315,0.062077,,Axis Mutual Fund,AXISCSDL,,,,,
7.88% Chattisgarh State Development Loans (15/03/2027),IN3520160034,Sovereign,6000000.0,6126.906,0.0313,0.061132,,Axis Mutual Fund,AXISCSDL,,,,,
6.58% Gujarat State Development Loans (31/03/2027),IN1520200347,Sovereign,5500000.0,5538.764,0.0283,0.060643,,Axis Mutual Fund,AXISCSDL,,,,,
7.63% Gujarat State Development Loans (12/04/2027),IN1520170011,Sovereign,5000000.0,5094.5,0.0261,0.061542,,Axis Mutual Fund,AXISCSDL,,,,,
7.51% Rajasthan State Development Loans (24/05/2027),IN2920170015,Sovereign,5000000.0,5092.335,0.026,0.061974,,Axis Mutual Fund,AXISCSDL,,,,,
7.78% Bihar State Development Loans (01/03/2027),IN1320160170,Sovereign,4500000.0,4585.0005,0.0235,0.06159,,Axis Mutual Fund,AXISCSDL,,,,,
6.72% Kerala State Development Loans (24/03/2027),IN2020200290,Sovereign,2500000.0,2518.68,0.0129,0.061621,,Axis Mutual Fund,AXISCSDL,,,,,
7.86% Karnataka State Development Loans (15/03/2027),IN1920160117,Sovereign,2100000.0,2144.8539,0.011,0.060746,,Axis Mutual Fund,AXISCSDL,,,,,
7.85% Rajasthan State Development Loans (15/03/2027),IN2920160438,Sovereign,2000000.0,2041.512,0.0104,0.061177,,Axis Mutual Fund,AXISCSDL,,,,,
6.48% Rajasthan State Development Loans (02/03/2027),IN2920210506,Sovereign,1500000.0,1507.572,0.0077,0.061074,,Axis Mutual Fund,AXISCSDL,,,,,
7.61% Uttar Pradesh State Development Loans (11/05/2027),IN3320170035,Sovereign,1000000.0,1019.558,0.0052,0.061748,,Axis Mutual Fund,AXISCSDL,,,,,
7.61% Uttar Pradesh State Development Loans (26/04/2027),IN3320170027,Sovereign,1000000.0,1018.962,0.0052,0.061748,,Axis Mutual Fund,AXISCSDL,,,,,
7.16% Haryana State Development Loans (24/05/2027),IN1620230046,Sovereign,1000000.0,1013.143,0.0052,0.062521,,Axis Mutual Fund,AXISCSDL,,,,,
7.87% Uttar Pradesh State Development Loans (15/03/2027),IN3320160341,Sovereign,500000.0,510.62,0.0026,0.060952,,Axis Mutual Fund,AXISCSDL,,,,,
7.78% West Bengal State Development Loans (01/03/2027),IN3420160167,Sovereign,300000.0,305.5893,0.0016,0.061825,,Axis Mutual Fund,AXISCSDL,,,,,
7.55% Kerala State Development Loans (11/05/2027),IN2020170022,Sovereign,200000.0,203.5888,0.001,0.062412,,Axis Mutual Fund,AXISCSDL,,,,,
7.80% Haryana State Development Loans 2027 (01/03/2027),IN1620160276,Sovereign,50000.0,50.9459,0.0003,0.061767,,Axis Mutual Fund,AXISCSDL,,,,,
Sub Total,,,,190551.5474,0.9746,,,Axis Mutual Fund,AXISCSDL,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISCSDL,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISCSDL,,,,,
Total,,,,190551.5474,0.9746,,,Axis Mutual Fund,AXISCSDL,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
Clearing Corporation of India Ltd,,,,2513.77,0.0129,0.05287019924988969,,Axis Mutual Fund,AXISCSDL,,,,,
Sub Total,,,,2513.77,0.0129,,,Axis Mutual Fund,AXISCSDL,,,,,
Total,,,,2513.77,0.0129,,,Axis Mutual Fund,AXISCSDL,,,,,
Net Receivables / (Payables),,,,2448.3426,0.0125,,,Axis Mutual Fund,AXISCSDL,,,,,
GRAND TOTAL,,,,195513.66,1,,,Axis Mutual Fund,AXISCSDL,,,,,
,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
The DIRF score is 97.47 %,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
,,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
,Benchmark Name - CRISIL IBX SDL INDEX - MAY 2027,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISCSDL,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
6.79% Government of India (07/10/2034),IN0020240126,,8000000.0,8071.704,0.0687,0.067619,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
6.48% Government of India (06/10/2035),IN0020250091,,8000000.0,7930.872,0.0675,0.067085,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.3% Government of India (19/06/2053),IN0020230051,,7000000.0,7012.383,0.0597,0.074174,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
6.68% Government of India (07/07/2040),IN0020250042,,7000000.0,6797.308,0.0579,0.071232,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.24% Government of India (18/08/2055),IN0020250075,,5536700.0,5521.5959,0.047,0.073933,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.43% Maharashtra State Development Loans (03/12/2040),IN2220250392,,5500000.0,5500.5225,0.0468,0.075659,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.52% Power Grid Corporation of India Limited (23/03/2033) **,INE752E08684,,5000.0,3822.68,0.0325,0.07085,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.44% Indian Railway Finance Corporation Limited (28/02/2034) **,INE053F08379,,2500.0,2543.46,0.0217,0.0715,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
6.9% Government of India (15/04/2065),IN0020250018,,2672500.0,2521.7817,0.0215,0.074732,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.14% National Housing Bank (17/11/2034) **,INE557F08GA2,,2500.0,2488.79,0.0212,0.072062,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.09% Government of India (05/08/2054),IN0020240118,,2500000.0,2444.245,0.0208,0.074079,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.09% Government of India (25/11/2074),IN0020240142,,2500000.0,2407.78,0.0205,0.07505,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.65% Bihar State Development Loans (24/12/2033),IN1320250211,,2373300.0,2398.5163,0.0204,0.0761,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.49% TELANGANA State Development Loans (03/12/2039),IN4520250569,,2000000.0,2005.392,0.0171,0.075965,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
8.35% Indian Railway Finance Corporation Limited (13/03/2029) **,INE053F07BC1,,150.0,1560.198,0.0133,0.0691,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.12% NHPC Limited (22/03/2029) **,INE848E08136,,150.0,1559.5635,0.0133,0.06835,,Axis Mutual Fund,AXISDBF,CARE AAA,,,,
8.23% Indian Railway Finance Corporation Limited (29/03/2029) **,INE053F07BE7,,150.0,1555.8855,0.0132,0.0691,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.26% Government of India (22/08/2032),IN0020220060,,1500000.0,1551.684,0.0132,0.067176,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.60% National Bank For Agriculture and Rural Development (23/11/2032) **,INE261F08931,,150.0,1547.7945,0.0132,0.0713,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.54% Government of India (23/05/2036),IN0020220029,,1000000.0,1055.503,0.009,0.069008,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.88% Export Import Bank of India (11/01/2033) **,INE514E08FQ4,,100.0,1042.499,0.0089,0.0709,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.02% Export Import Bank of India (25/11/2031) **,INE514E08FH3,,100.0,1000.962,0.0085,0.06995,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.03% Indian Railway Finance Corporation Limited (30/07/2036) **,INE053F08114,,100.0,981.728,0.0084,0.0728,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
6.81% REC Limited (30/04/2036) **,INE020B08FV8,,1000.0,965.564,0.0082,0.0729,,Axis Mutual Fund,AXISDBF,ICRA AAA,,,,
8.49% National Highways Authority Of India (05/02/2029) **,INE906B07GO3,,88.0,918.7332,0.0078,0.06855,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.4% REC Limited (15/03/2036) **,INE020B08DO8,,90.0,906.5772,0.0077,0.0729,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.80% REC Limited (14/05/2029) **,INE020B08BS3,,50.0,526.8125,0.0045,0.06935,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.5% National Bank For Agriculture and Rural Development (27/02/2029) **,INE261F08BC8,,50.0,523.084,0.0045,0.0696,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.55% HDFC Bank Limited (27/03/2029) **,INE040A08724,,50.0,519.901,0.0044,0.0711,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.27% National Highways Authority Of India (28/03/2029) **,INE906B07GP0,,50.0,519.6795,0.0044,0.06855,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.15% National Bank For Agriculture and Rural Development (28/03/2029) **,INE261F08BH7,,50.0,518.6015,0.0044,0.0696,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.05% HDFC Bank Limited (22/10/2029) **,INE040A08AC9,,50.0,514.6595,0.0044,0.0713,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.79% Power Finance Corporation Limited (22/07/2030) **,INE134E08KU3,,50.0,514.6135,0.0044,0.070087,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.68% Uttar Pradesh State Development Loans (18/10/2034),IN3320230102,,500000.0,510.2655,0.0043,0.074916,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
7.5% NHPC Limited (06/10/2029) **,INE848E07AS5,,250.0,509.6745,0.0043,0.06885,,Axis Mutual Fund,AXISDBF,ICRA AAA,,,,
7.49% National Highways Authority Of India (01/08/2029) **,INE906B07HG7,,50.0,509.0955,0.0043,0.0688,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.5% NHPC Limited (07/10/2027) **,INE848E07AQ9,,250.0,507.4215,0.0043,0.065556,,Axis Mutual Fund,AXISDBF,ICRA AAA,,,,
7.4% Power Finance Corporation Limited (08/05/2030) **,INE134E08KQ1,,50.0,506.836,0.0043,0.070087,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
6.97% National Bank For Agriculture and Rural Development (17/03/2031) **,INE261F08CZ7,,50.0,500.376,0.0043,0.0707,,Axis Mutual Fund,AXISDBF,ICRA AAA,,,,
6.8% State Bank of India (21/08/2035) **,INE062A08231,,50.0,497.0845,0.0042,0.068772,0.069300493,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
8.20% Power Grid Corporation of India Limited (23/01/2030) **,INE752E07MH7,,40.0,418.0236,0.0036,0.068858,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.1% Government of India (18/04/2029),IN0020220011,,400000.0,412.6216,0.0035,0.06117,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
6.63% Maharashtra State Development Loans (14/10/2030),IN2220200264,,394100.0,390.1156,0.0033,0.069965,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
6.51% Karnataka State Development Loans (30/12/2030),IN1920200533,,364800.0,359.2007,0.0031,0.069965,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
9.41% India Infrastructure Fin Co Ltd (27/07/2037) **,INE787H07057,,25.0,287.7815,0.0024,0.074087,,Axis Mutual Fund,AXISDBF,CRISIL AAA,,,,
7.04% Gujarat State Development Loans (18/03/2030),IN1520190217,,120300.0,121.1226,0.001,0.069636,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
6.19% Government of India (16/09/2034),IN0020200096,,100000.0,96.8474,0.0008,0.067825,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
8.60% Government of India (02/06/2028),IN0020140011,,30000.0,31.8429,0.0003,0.059221,,Axis Mutual Fund,AXISDBF,Sovereign,,,,
Sub Total,,,,85409.3832,0.7271,,,Axis Mutual Fund,AXISDBF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISDBF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDBF,,,,,
(c) Securitised Debt,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
Siddhivinayak Securitisation Trust (28/09/2030) **,INE2I7F15012,,11.0,1105.0148,0.0094,0.074648,,Axis Mutual Fund,AXISDBF,CRISIL AAA(SO),,,,
Shivshakti Securitisation Trust (28/09/2029) **,INE2I7G15010,,11.0,1103.712,0.0094,0.073398,,Axis Mutual Fund,AXISDBF,CRISIL AAA(SO),,,,
Radhakrishna Securitisation Trust (28/09/2028) **,INE2I7H15018,,8.0,799.1895,0.0068,0.073098,,Axis Mutual Fund,AXISDBF,CRISIL AAA(SO),,,,
Sub Total,,,,3007.9163,0.0256,,,Axis Mutual Fund,AXISDBF,,,,,
Total,,,,88417.2996,0.7527,,,Axis Mutual Fund,AXISDBF,,,,,
Others,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
Alternative Investment Fund Units,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4323.366,499.5127,0.0043,,,Axis Mutual Fund,AXISDBF,,,,,
Sub Total,,,,499.5127,0.0043,,,Axis Mutual Fund,AXISDBF,,,,,
Total,,,,499.5127,0.0043,,,Axis Mutual Fund,AXISDBF,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
Clearing Corporation of India Ltd,,,,15000,0.1277,0.0533,,Axis Mutual Fund,AXISDBF,,,,,
Clearing Corporation of India Ltd,,,,11542.02,0.0983,0.052870206887077234,,Axis Mutual Fund,AXISDBF,,,,,
Sub Total,,,,26542.02,0.226,,,Axis Mutual Fund,AXISDBF,,,,,
Total,,,,26542.02,0.226,,,Axis Mutual Fund,AXISDBF,,,,,
Net Receivables / (Payables),,,,2008.7777,0.017,,,Axis Mutual Fund,AXISDBF,,,,,
GRAND TOTAL,,,,117467.61,1,,,Axis Mutual Fund,AXISDBF,,,,,
,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
**  Thinly Traded / Non Traded Security,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
,,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
,Benchmark Name - NIFTY COMPOSITE DEBT INDEX A-III,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISDBF,,,,,
Equity & Equity related,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
(a) Listed / awaiting listing on Stock Exchanges,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
Reliance Industries Limited,INE002A01018,Petroleum Products,1386051.0,21766.5449,0.057,,,Axis Mutual Fund,AXISDEF,,,,,
HDFC Bank Limited,INE040A01034,Banks,1949910.0,19327.5079,0.0506,,,Axis Mutual Fund,AXISDEF,,,,,
State Bank of India,INE062A01020,Banks,1781305.0,17495.9777,0.0458,,,Axis Mutual Fund,AXISDEF,,,,,
Infosys Limited,INE009A01021,IT - Software,864072.0,13958.2191,0.0366,,,Axis Mutual Fund,AXISDEF,,,,,
ICICI Bank Limited,INE090A01021,Banks,1002324.0,13460.209,0.0353,,,Axis Mutual Fund,AXISDEF,,,,,
Mahindra & Mahindra Limited,INE101A01026,Automobiles,308627.0,11447.5927,0.03,,,Axis Mutual Fund,AXISDEF,,,,,
Larsen & Toubro Limited,INE018A01030,Construction,249023.0,10168.8542,0.0266,,,Axis Mutual Fund,AXISDEF,,,,,
Bharti Airtel Limited,INE397D01024,Telecom - Services,357259.0,7522.4455,0.0197,,,Axis Mutual Fund,AXISDEF,,,,,
Bajaj Finance Limited,INE296A01032,Finance,710440.0,7010.6219,0.0184,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Consultancy Services Limited,INE467B01029,IT - Software,197516.0,6332.758,0.0166,,,Axis Mutual Fund,AXISDEF,,,,,
NTPC Limited,INE733E01010,Power,1594541.0,5254.8099,0.0138,,,Axis Mutual Fund,AXISDEF,,,,,
Kotak Mahindra Bank Limited,INE237A01028,Banks,221096.0,4866.5441,0.0128,,,Axis Mutual Fund,AXISDEF,,,,,
ITC Limited,INE154A01025,Diversified FMCG,1145707.0,4617.1992,0.0121,,,Axis Mutual Fund,AXISDEF,,,,,
Shriram Finance Limited,INE721A01047,Finance,452653.0,4509.3292,0.0118,,,Axis Mutual Fund,AXISDEF,,,,,
Sun Pharmaceutical Industries Limited,INE044A01036,Pharmaceuticals & Biotechnology,259243.0,4458.2019,0.0117,,,Axis Mutual Fund,AXISDEF,,,,,
SBI Life Insurance Company Limited,INE123W01016,Insurance,200627.0,4082.5588,0.0107,,,Axis Mutual Fund,AXISDEF,,,,,
Titan Company Limited,INE280A01028,Consumer Durables,83072.0,3365.6621,0.0088,,,Axis Mutual Fund,AXISDEF,,,,,
Samvardhana Motherson International Limited,INE775A01035,Auto Components,2678367.0,3212.4334,0.0084,,,Axis Mutual Fund,AXISDEF,,,,,
Cipla Limited,INE059A01026,Pharmaceuticals & Biotechnology,210230.0,3177.206,0.0083,,,Axis Mutual Fund,AXISDEF,,,,,
Pidilite Industries Limited,INE318A01026,Chemicals & Petrochemicals,213926.0,3171.239,0.0083,,,Axis Mutual Fund,AXISDEF,,,,,
TVS Motor Company Limited,INE494B01023,Automobiles,83614.0,3110.2736,0.0081,,,Axis Mutual Fund,AXISDEF,,,,,
Britannia Industries Limited,INE216A01030,Food Products,49581.0,2990.2301,0.0078,,,Axis Mutual Fund,AXISDEF,,,,,
Hindustan Unilever Limited,INE030A01027,Diversified FMCG,127200.0,2945.8248,0.0077,,,Axis Mutual Fund,AXISDEF,,,,,
Indus Infra Trust,INE0NHL23019,Transport Infrastructure,2495138.0,2913.3231,0.0076,,,Axis Mutual Fund,AXISDEF,,,,,
Apollo Hospitals Enterprise Limited,INE437A01024,Healthcare Services,40934.0,2882.777,0.0076,,,Axis Mutual Fund,AXISDEF,,,,,
Doms Industries Limited,INE321T01012,Household Products,109568.0,2865.6415,0.0075,,,Axis Mutual Fund,AXISDEF,,,,,
HDFC Life Insurance Company Limited,INE795G01014,Insurance,355914.0,2668.8211,0.007,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Steel Limited,INE081A01020,Ferrous Metals,1470248.0,2647.6226,0.0069,,,Axis Mutual Fund,AXISDEF,,,,,
Cummins India Limited,INE298A01020,Industrial Products,59412.0,2634.5657,0.0069,,,Axis Mutual Fund,AXISDEF,,,,,
Hindalco Industries Limited,INE038A01020,Non - Ferrous Metals,296870.0,2632.3463,0.0069,,,Axis Mutual Fund,AXISDEF,,,,,
The Phoenix Mills Limited,INE211B01039,Realty,136352.0,2527.2843,0.0066,,,Axis Mutual Fund,AXISDEF,,,,,
Tech Mahindra Limited,INE669C01036,IT - Software,154060.0,2450.9405,0.0064,,,Axis Mutual Fund,AXISDEF,,,,,
Bharat Electronics Limited,INE263A01024,Aerospace & Defense,612192.0,2446.3192,0.0064,,,Axis Mutual Fund,AXISDEF,,,,,
Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense,55110.0,2418.6126,0.0063,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Power Company Limited,INE245A01021,Power,609638.0,2314.1858,0.0061,,,Axis Mutual Fund,AXISDEF,,,,,
InterGlobe Aviation Limited,INE646L01027,Transport Services,45077.0,2280.6708,0.006,,,Axis Mutual Fund,AXISDEF,,,,,
Bharat Petroleum Corporation Limited,INE029A01011,Petroleum Products,588204.0,2258.7034,0.0059,,,Axis Mutual Fund,AXISDEF,,,,,
Divi's Laboratories Limited,INE361B01024,Pharmaceuticals & Biotechnology,34004.0,2173.7057,0.0057,,,Axis Mutual Fund,AXISDEF,,,,,
Coforge Limited,INE591G01025,IT - Software,130500.0,2170.215,0.0057,,,Axis Mutual Fund,AXISDEF,,,,,
