Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
7.10% Bajaj Housing Finance Limited (16/10/2028) ,INE377Y07607,CRISIL AAA,2000.0,2000.47,0.0021,Axis Mutual Fund,AXISCOF,
7.40% Power Grid Corporation of India Limited (17/02/2033) ,INE752E08676,CRISIL AAA,2500.0,1841.1675,0.0019,Axis Mutual Fund,AXISCOF,
7.46% REC Limited (30/06/2028) ,INE020B08EK4,CRISIL AAA,1500.0,1520.535,0.0016,Axis Mutual Fund,AXISCOF,
7.40% Power Finance Corporation Limited (15/01/2035) ,INE134E08NN2,CRISIL AAA,1500.0,1516.182,0.0016,Axis Mutual Fund,AXISCOF,
7.89% Tata Capital Limited (26/07/2027) ,INE306N07MX0,CRISIL AAA,150.0,1514.157,0.0016,Axis Mutual Fund,AXISCOF,
7.5519% HDB Financial Services Limited (04/04/2029) ,INE756I07FE0,CRISIL AAA,1500.0,1506.7185,0.0016,Axis Mutual Fund,AXISCOF,
7.49% punjab State Development Loans (03/12/2035),IN2820250149,Sovereign,1500000.0,1493.7165,0.0016,Axis Mutual Fund,AXISCOF,
Government of India (05/08/2027),IN000827C039,Sovereign,1063500.0,970.3821,0.001,Axis Mutual Fund,AXISCOF,
Government of India (06/05/2028),IN000528C025,Sovereign,1000000.0,867.504,0.0009,Axis Mutual Fund,AXISCOF,
8.15% Tamil Nadu State Development Loans (09/05/2028),IN3120180036,Sovereign,500000.0,519.652,0.0005,Axis Mutual Fund,AXISCOF,
7.18% Government of India (24/07/2037),IN0020230077,Sovereign,500000.0,511.5025,0.0005,Axis Mutual Fund,AXISCOF,
7.87% Bajaj Finance Limited (08/02/2034) ,INE296A07SU3,CRISIL AAA,500.0,509.3045,0.0005,Axis Mutual Fund,AXISCOF,
7.59% Power Finance Corporation Limited (17/01/2028) ,INE134E08LX5,CRISIL AAA,50.0,507.3525,0.0005,Axis Mutual Fund,AXISCOF,
8.24% L&T Finance Limited (16/06/2027) ,INE498L07038,ICRA AAA,500.0,507.2035,0.0005,Axis Mutual Fund,AXISCOF,
7.68% Small Industries Dev Bank of India (10/09/2027) ,INE556F08KQ2,CRISIL AAA,500.0,506.694,0.0005,Axis Mutual Fund,AXISCOF,
7.17% Government of India (17/04/2030),IN0020230036,Sovereign,485200.0,500.8977,0.0005,Axis Mutual Fund,AXISCOF,
7.25% Government of India (12/06/2063),IN0020230044,Sovereign,500000.0,492.25,0.0005,Axis Mutual Fund,AXISCOF,
7.32% Government of India (13/11/2030),IN0020230135,Sovereign,364500.0,378.8092,0.0004,Axis Mutual Fund,AXISCOF,
8.21% Haryana UDAY BOND(31/03/2026),IN1620150186,Sovereign,332000.0,334.073,0.0004,Axis Mutual Fund,AXISCOF,
7.26% Government of India (22/08/2032),IN0020220060,Sovereign,151100.0,156.379,0.0002,Axis Mutual Fund,AXISCOF,
7.37% Government of India (23/10/2028),IN0020230101,Sovereign,141200.0,146.8229,0.0002,Axis Mutual Fund,AXISCOF,
7.29% Karnataka State Development Loans (12/01/2034),IN1920210250,Sovereign,141500.0,141.1539,0.0001,Axis Mutual Fund,AXISCOF,
7.49% TELANGANA State Development Loans (03/12/2039),IN4520250569,Sovereign,62500.0,62.5502,0.0001,Axis Mutual Fund,AXISCOF,
7.08% Andhra Pradesh State Development Loans (26/03/2037),IN1020240801,Sovereign,46900.0,45.7385,$0.00%,Axis Mutual Fund,AXISCOF,
7.1% Government of India (08/04/2034),IN0020240019,Sovereign,16700.0,17.2004,$0.00%,Axis Mutual Fund,AXISCOF,
Sub Total,,,,822704.577,0.8631,Axis Mutual Fund,AXISCOF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISCOF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISCOF,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISCOF,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),194.0,19502.6962,0.0205,Axis Mutual Fund,AXISCOF,
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),135.0,13544.1764,0.0142,Axis Mutual Fund,AXISCOF,
India Universal Trust (20/09/2030) ,INE16J715035,IND AAA(SO),100.0,9228.7678,0.0097,Axis Mutual Fund,AXISCOF,
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),55.0,5499.5567,0.0058,Axis Mutual Fund,AXISCOF,
India Universal Trust (21/11/2030) ,INE1CBK15037,CRISIL AAA(SO),51.0,4884.3686,0.0051,Axis Mutual Fund,AXISCOF,
India Universal Trust (20/07/2027) ,INE16J715027,IND AAA(SO),25.0,2059.1985,0.0022,Axis Mutual Fund,AXISCOF,
India Universal Trust (21/11/2027) ,INE1CBK15029,CRISIL AAA(SO),20.0,1491.1525,0.0016,Axis Mutual Fund,AXISCOF,
Sub Total,,,,56209.9166,0.059,Axis Mutual Fund,AXISCOF,
Total,,,,878914.4937,0.9221,Axis Mutual Fund,AXISCOF,
Others,,,,,,Axis Mutual Fund,AXISCOF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISCOF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,22092.236,2550.6367,0.0027,Axis Mutual Fund,AXISCOF,
Sub Total,,,,2550.6367,0.0027,Axis Mutual Fund,AXISCOF,
Total,,,,2550.6367,0.0027,Axis Mutual Fund,AXISCOF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISCOF,
Clearing Corporation of India Ltd,,,,31429.8719,0.033,Axis Mutual Fund,AXISCOF,
Sub Total,,,,31429.8719,0.033,Axis Mutual Fund,AXISCOF,
Total,,,,31429.8719,0.033,Axis Mutual Fund,AXISCOF,
Net Receivables / (Payables),,,,40256.4377,0.0422,Axis Mutual Fund,AXISCOF,
GRAND TOTAL,,,,953151.44,1,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
$  Less Than 0.01% of Net Asset Value ,,,,,,Axis Mutual Fund,AXISCOF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,,,,,,Axis Mutual Fund,AXISCOF,
,Benchmark Name - NIFTY CORPORATE BOND INDEX A-II,,,,,Axis Mutual Fund,AXISCOF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISCOF,
Debt Instruments,,,,,,Axis Mutual Fund,AXISDBF,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISDBF,
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,8000000.0,8088.312,0.0686,Axis Mutual Fund,AXISDBF,
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,8000000.0,7947.736,0.0674,Axis Mutual Fund,AXISDBF,
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,7000000.0,6996.857,0.0594,Axis Mutual Fund,AXISDBF,
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,7000000.0,6794.025,0.0576,Axis Mutual Fund,AXISDBF,
7.24% Government of India (18/08/2055),IN0020250075,Sovereign,5536700.0,5493.5193,0.0466,Axis Mutual Fund,AXISDBF,
7.43% Maharashtra State Development Loans (03/12/2040),IN2220250392,Sovereign,5500000.0,5493.345,0.0466,Axis Mutual Fund,AXISDBF,
7.52% Power Grid Corporation of India Limited (23/03/2033) ,INE752E08684,CRISIL AAA,5000.0,3825.22,0.0325,Axis Mutual Fund,AXISDBF,
7.44% Indian Railway Finance Corporation Limited (28/02/2034) ,INE053F08379,CRISIL AAA,2500.0,2544.1575,0.0216,Axis Mutual Fund,AXISDBF,
6.9% Government of India (15/04/2065),IN0020250018,Sovereign,2672500.0,2516.1534,0.0213,Axis Mutual Fund,AXISDBF,
7.14% National Housing Bank (17/11/2034) ,INE557F08GA2,CRISIL AAA,2500.0,2491.8425,0.0211,Axis Mutual Fund,AXISDBF,
7.09% Government of India (05/08/2054),IN0020240118,Sovereign,2500000.0,2433.735,0.0206,Axis Mutual Fund,AXISDBF,
7.09% Government of India (25/11/2074),IN0020240142,Sovereign,2500000.0,2403.6925,0.0204,Axis Mutual Fund,AXISDBF,
7.65% Bihar State Development Loans (24/12/2033),IN1320250211,Sovereign,2373300.0,2394.6834,0.0203,Axis Mutual Fund,AXISDBF,
7.49% TELANGANA State Development Loans (03/12/2039),IN4520250569,Sovereign,2000000.0,2001.606,0.017,Axis Mutual Fund,AXISDBF,
8.35% Indian Railway Finance Corporation Limited (13/03/2029) ,INE053F07BC1,CRISIL AAA,150.0,1561.7535,0.0132,Axis Mutual Fund,AXISDBF,
8.12% NHPC Limited (22/03/2029) ,INE848E08136,CARE AAA,150.0,1560.216,0.0132,Axis Mutual Fund,AXISDBF,
8.23% Indian Railway Finance Corporation Limited (29/03/2029) ,INE053F07BE7,CRISIL AAA,150.0,1557.4335,0.0132,Axis Mutual Fund,AXISDBF,
7.26% Government of India (22/08/2032),IN0020220060,Sovereign,1500000.0,1552.4055,0.0132,Axis Mutual Fund,AXISDBF,
7.60% National Bank For Agriculture and Rural Development (23/11/2032) ,INE261F08931,CRISIL AAA,150.0,1547.487,0.0131,Axis Mutual Fund,AXISDBF,
7.54% Government of India (23/05/2036),IN0020220029,Sovereign,1000000.0,1055.031,0.009,Axis Mutual Fund,AXISDBF,
7.88% Export Import Bank of India (11/01/2033) ,INE514E08FQ4,CRISIL AAA,100.0,1042.807,0.0088,Axis Mutual Fund,AXISDBF,
7.02% Export Import Bank of India (25/11/2031) ,INE514E08FH3,CRISIL AAA,100.0,1001.935,0.0085,Axis Mutual Fund,AXISDBF,
7.03% Indian Railway Finance Corporation Limited (30/07/2036) ,INE053F08114,CRISIL AAA,100.0,981.341,0.0083,Axis Mutual Fund,AXISDBF,
6.81% REC Limited (30/04/2036) ,INE020B08FV8,ICRA AAA,1000.0,966.222,0.0082,Axis Mutual Fund,AXISDBF,
8.49% National Highways Authority Of India (05/02/2029) ,INE906B07GO3,CRISIL AAA,88.0,919.1081,0.0078,Axis Mutual Fund,AXISDBF,
7.4% REC Limited (15/03/2036) ,INE020B08DO8,CRISIL AAA,90.0,907.2036,0.0077,Axis Mutual Fund,AXISDBF,
8.80% REC Limited (14/05/2029) ,INE020B08BS3,CRISIL AAA,50.0,527.362,0.0045,Axis Mutual Fund,AXISDBF,
8.5% National Bank For Agriculture and Rural Development (27/02/2029) ,INE261F08BC8,CRISIL AAA,50.0,523.31,0.0044,Axis Mutual Fund,AXISDBF,
8.55% HDFC Bank Limited (27/03/2029) ,INE040A08724,CRISIL AAA,50.0,519.8945,0.0044,Axis Mutual Fund,AXISDBF,
8.27% National Highways Authority Of India (28/03/2029) ,INE906B07GP0,CRISIL AAA,50.0,519.891,0.0044,Axis Mutual Fund,AXISDBF,
8.15% National Bank For Agriculture and Rural Development (28/03/2029) ,INE261F08BH7,CRISIL AAA,50.0,518.814,0.0044,Axis Mutual Fund,AXISDBF,
8.05% HDFC Bank Limited (22/10/2029) ,INE040A08AC9,CRISIL AAA,50.0,514.718,0.0044,Axis Mutual Fund,AXISDBF,
7.79% Power Finance Corporation Limited (22/07/2030) ,INE134E08KU3,CRISIL AAA,50.0,513.655,0.0044,Axis Mutual Fund,AXISDBF,
7.68% Uttar Pradesh State Development Loans (18/10/2034),IN3320230102,Sovereign,500000.0,509.934,0.0043,Axis Mutual Fund,AXISDBF,
7.5% NHPC Limited (06/10/2029) ,INE848E07AS5,ICRA AAA,250.0,509.3065,0.0043,Axis Mutual Fund,AXISDBF,
7.49% National Highways Authority Of India (01/08/2029) ,INE906B07HG7,CRISIL AAA,50.0,508.7385,0.0043,Axis Mutual Fund,AXISDBF,
7.5% NHPC Limited (07/10/2027) ,INE848E07AQ9,ICRA AAA,250.0,507.486,0.0043,Axis Mutual Fund,AXISDBF,
7.4% Power Finance Corporation Limited (08/05/2030) ,INE134E08KQ1,CRISIL AAA,50.0,505.905,0.0043,Axis Mutual Fund,AXISDBF,
6.97% National Bank For Agriculture and Rural Development (17/03/2031) ,INE261F08CZ7,ICRA AAA,50.0,500.2715,0.0042,Axis Mutual Fund,AXISDBF,
6.8% State Bank of India (21/08/2035) ,INE062A08231,CRISIL AAA,50.0,495.5425,0.0042,Axis Mutual Fund,AXISDBF,
8.20% Power Grid Corporation of India Limited (23/01/2030) ,INE752E07MH7,CRISIL AAA,40.0,417.8504,0.0035,Axis Mutual Fund,AXISDBF,
7.1% Government of India (18/04/2029),IN0020220011,Sovereign,400000.0,413.8088,0.0035,Axis Mutual Fund,AXISDBF,
6.63% Maharashtra State Development Loans (14/10/2030),IN2220200264,Sovereign,394100.0,389.9521,0.0033,Axis Mutual Fund,AXISDBF,
6.51% Karnataka State Development Loans (30/12/2030),IN1920200533,Sovereign,364800.0,359.0383,0.003,Axis Mutual Fund,AXISDBF,
9.41% India Infrastructure Fin Co Ltd (27/07/2037) ,INE787H07057,CRISIL AAA,25.0,287.707,0.0024,Axis Mutual Fund,AXISDBF,
7.04% Gujarat State Development Loans (18/03/2030),IN1520190217,Sovereign,120300.0,121.087,0.001,Axis Mutual Fund,AXISDBF,
6.19% Government of India (16/09/2034),IN0020200096,Sovereign,100000.0,96.9805,0.0008,Axis Mutual Fund,AXISDBF,
8.60% Government of India (02/06/2028),IN0020140011,Sovereign,30000.0,31.8491,0.0003,Axis Mutual Fund,AXISDBF,
Sub Total,,,,85370.9295,0.7242,Axis Mutual Fund,AXISDBF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISDBF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISDBF,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISDBF,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),11.0,1105.823,0.0094,Axis Mutual Fund,AXISDBF,
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),11.0,1103.5996,0.0094,Axis Mutual Fund,AXISDBF,
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),8.0,799.9355,0.0068,Axis Mutual Fund,AXISDBF,
Sub Total,,,,3009.3581,0.0255,Axis Mutual Fund,AXISDBF,
Total,,,,88380.2876,0.7498,Axis Mutual Fund,AXISDBF,
Others,,,,,,Axis Mutual Fund,AXISDBF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISDBF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4323.366,499.1498,0.0042,Axis Mutual Fund,AXISDBF,
Sub Total,,,,499.1498,0.0042,Axis Mutual Fund,AXISDBF,
Total,,,,499.1498,0.0042,Axis Mutual Fund,AXISDBF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISDBF,
Clearing Corporation of India Ltd,,,,16780.7304,0.1424,Axis Mutual Fund,AXISDBF,
Sub Total,,,,16780.7304,0.1424,Axis Mutual Fund,AXISDBF,
Total,,,,16780.7304,0.1424,Axis Mutual Fund,AXISDBF,
Net Receivables / (Payables),,,,12214.9822,0.1036,Axis Mutual Fund,AXISDBF,
GRAND TOTAL,,,,117875.15,1,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,,,,,,Axis Mutual Fund,AXISDBF,
,Benchmark Name - NIFTY COMPOSITE DEBT INDEX A-III,,,,,Axis Mutual Fund,AXISDBF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISDBF,
Equity & Equity related,,,,,,Axis Mutual Fund,AXISEAF,
(a) Listed / awaiting listing on Stock Exchanges,,,,,,Axis Mutual Fund,AXISEAF,
Vodafone Idea Limited,INE669E01016,,259668675.0,31004.4398,0.0375,Axis Mutual Fund,AXISEAF,Telecom - Services
HDFC Bank Limited,INE040A01034,,3040400.0,30163.8084,0.0365,Axis Mutual Fund,AXISEAF,Banks
Reliance Industries Limited,INE002A01018,,1487500.0,23193.1,0.0281,Axis Mutual Fund,AXISEAF,Petroleum Products
Eternal Limited,INE758T01015,,7541750.0,21248.8806,0.0257,Axis Mutual Fund,AXISEAF,Retailing
ICICI Bank Limited,INE090A01021,,1281000.0,17298.624,0.0209,Axis Mutual Fund,AXISEAF,Banks
State Bank of India,INE062A01020,,1784250.0,17241.2078,0.0209,Axis Mutual Fund,AXISEAF,Banks
UltraTech Cement Limited,INE481G01011,,123900.0,14612.766,0.0177,Axis Mutual Fund,AXISEAF,Cement & Cement Products
IDFC First Bank Limited,INE092T01019,,16963975.0,14439.7355,0.0175,Axis Mutual Fund,AXISEAF,Banks
Kotak Mahindra Bank Limited,INE237A01028,,584000.0,12638.928,0.0153,Axis Mutual Fund,AXISEAF,Banks
Bank of Baroda,INE028A01039,,4267575.0,12299.1512,0.0149,Axis Mutual Fund,AXISEAF,Banks
Aditya Birla Capital Limited,INE674K01013,,3379000.0,11763.9885,0.0142,Axis Mutual Fund,AXISEAF,Finance
RBL Bank Limited,INE976G01028,,3860800.0,11707.876,0.0142,Axis Mutual Fund,AXISEAF,Banks
Tata Consultancy Services Limited,INE467B01029,,313775.0,10291.82,0.0125,Axis Mutual Fund,AXISEAF,IT - Software
Punjab National Bank,INE160A01022,,8184000.0,9851.0808,0.0119,Axis Mutual Fund,AXISEAF,Banks
Bajaj Finance Limited,INE296A01032,,935250.0,9352.5,0.0113,Axis Mutual Fund,AXISEAF,Finance
Godrej Properties Limited,INE484J01027,,457325.0,9158.3905,0.0111,Axis Mutual Fund,AXISEAF,Realty
Container Corporation of India Limited,INE111A01025,,1735000.0,9027.205,0.0109,Axis Mutual Fund,AXISEAF,Transport Services
Titan Company Limited,INE280A01028,,220675.0,8809.346,0.0107,Axis Mutual Fund,AXISEAF,Consumer Durables
Bharti Airtel Limited,INE397D01024,,411350.0,8660.5629,0.0105,Axis Mutual Fund,AXISEAF,Telecom - Services
Indus Towers Limited,INE121J01017,,2021300.0,8486.4281,0.0103,Axis Mutual Fund,AXISEAF,Telecom - Services
Multi Commodity Exchange of India Limited,INE745G01035,,73125.0,8081.775,0.0098,Axis Mutual Fund,AXISEAF,Capital Markets
Maruti Suzuki India Limited,INE585B01010,,48100.0,7982.676,0.0097,Axis Mutual Fund,AXISEAF,Automobiles
GMR Airports Limited,INE776C01039,,7595775.0,7781.8715,0.0094,Axis Mutual Fund,AXISEAF,Transport Infrastructure
DLF Limited,INE271C01023,,1111275.0,7723.3613,0.0094,Axis Mutual Fund,AXISEAF,Realty
Mahindra & Mahindra Limited,INE101A01026,,212200.0,7688.2182,0.0093,Axis Mutual Fund,AXISEAF,Automobiles
Grasim Industries Limited,INE047A01021,,272250.0,7671.1883,0.0093,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Shriram Finance Limited,INE721A01047,,775500.0,7446.7388,0.009,Axis Mutual Fund,AXISEAF,Finance
PNB Housing Finance Limited,INE572E01012,,771550.0,7281.8889,0.0088,Axis Mutual Fund,AXISEAF,Finance
Marico Limited,INE196A01026,,966000.0,7180.278,0.0087,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products
IndusInd Bank Limited,INE095A01012,,818300.0,6954.3226,0.0084,Axis Mutual Fund,AXISEAF,Banks
Sona BLW Precision Forgings Limited,INE073K01018,,1404375.0,6770.4919,0.0082,Axis Mutual Fund,AXISEAF,Auto Components
Hindalco Industries Limited,INE038A01020,,748300.0,6531.9107,0.0079,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals
Tata Power Company Limited,INE245A01021,,1711000.0,6494.1005,0.0079,Axis Mutual Fund,AXISEAF,Power
Tata Steel Limited,INE081A01020,,3800500.0,6427.4056,0.0078,Axis Mutual Fund,AXISEAF,Ferrous Metals
Trent Limited,INE849A01020,,139200.0,5965.1376,0.0072,Axis Mutual Fund,AXISEAF,Retailing
Aurobindo Pharma Limited,INE406A01037,,479050.0,5778.3011,0.007,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
ITC Limited,INE154A01025,,1420800.0,5742.1632,0.007,Axis Mutual Fund,AXISEAF,Diversified FMCG
JSW Steel Limited,INE019A01038,,507600.0,5555.1744,0.0067,Axis Mutual Fund,AXISEAF,Ferrous Metals
Glenmark Pharmaceuticals Limited,INE935A01035,,275625.0,5541.7163,0.0067,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Pidilite Industries Limited,INE318A01026,,360500.0,5258.253,0.0064,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
Kalyan Jewellers India Limited,INE303R01014,,1058675.0,5199.6823,0.0063,Axis Mutual Fund,AXISEAF,Consumer Durables
NMDC Limited,INE584A01023,,6122250.0,5057.5907,0.0061,Axis Mutual Fund,AXISEAF,Minerals & Mining
UPL Limited,INE628A01036,,650400.0,5034.4212,0.0061,Axis Mutual Fund,AXISEAF,Fertilizers & Agrochemicals
Bharat Electronics Limited,INE263A01024,,1258275.0,5013.5967,0.0061,Axis Mutual Fund,AXISEAF,Aerospace & Defense
JSW Energy Limited,INE121E01018,,1024000.0,4909.056,0.0059,Axis Mutual Fund,AXISEAF,Power
Jio Financial Services Limited,INE758E01017,,1637950.0,4863.8925,0.0059,Axis Mutual Fund,AXISEAF,Finance
REC Limited,INE020B01018,,1267325.0,4525.6176,0.0055,Axis Mutual Fund,AXISEAF,Finance
NBCC (India) Limited,INE095N01031,,3445000.0,4204.967,0.0051,Axis Mutual Fund,AXISEAF,Construction
Varun Beverages Limited,INE200M01039,,863675.0,4170.2547,0.005,Axis Mutual Fund,AXISEAF,Beverages
APL Apollo Tubes Limited,INE702C01027,,216300.0,4079.6343,0.0049,Axis Mutual Fund,AXISEAF,Industrial Products
Divi's Laboratories Limited,INE361B01024,,62400.0,4010.76,0.0049,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
Vedanta Limited,INE205A01025,,661250.0,3973.7819,0.0048,Axis Mutual Fund,AXISEAF,Diversified Metals
Tech Mahindra Limited,INE669C01036,,243000.0,3917.889,0.0047,Axis Mutual Fund,AXISEAF,IT - Software
TVS Motor Company Limited,INE494B01023,,106225.0,3860.3227,0.0047,Axis Mutual Fund,AXISEAF,Automobiles
Dixon Technologies (India) Limited,INE935N01020,,28700.0,3538.136,0.0043,Axis Mutual Fund,AXISEAF,Consumer Durables
Max Healthcare Institute Limited,INE027H01010,,320775.0,3446.0858,0.0042,Axis Mutual Fund,AXISEAF,Healthcare Services
LIC Housing Finance Limited,INE115A01026,,638000.0,3441.691,0.0042,Axis Mutual Fund,AXISEAF,Finance
United Spirits Limited,INE854D01024,,233600.0,3336.7424,0.004,Axis Mutual Fund,AXISEAF,Beverages
Apollo Hospitals Enterprise Limited,INE437A01024,,46500.0,3327.54,0.004,Axis Mutual Fund,AXISEAF,Healthcare Services
UNO Minda Limited,INE405E01023,,254650.0,3237.6201,0.0039,Axis Mutual Fund,AXISEAF,Auto Components
Cholamandalam Investment and Finance Company Ltd,INE121A01024,,190000.0,3226.2,0.0039,Axis Mutual Fund,AXISEAF,Finance
Life Insurance Corporation Of India,INE0J1Y01017,,373800.0,3176.3655,0.0038,Axis Mutual Fund,AXISEAF,Insurance
Hero MotoCorp Limited,INE158A01026,,54900.0,3094.713,0.0037,Axis Mutual Fund,AXISEAF,Automobiles
Adani Energy Solutions Limited,INE931S01010,,302400.0,3070.2672,0.0037,Axis Mutual Fund,AXISEAF,Power
Britannia Industries Limited,INE216A01030,,49250.0,2971.0063,0.0036,Axis Mutual Fund,AXISEAF,Food Products
Lodha Developers Limited,INE670K01029,,273150.0,2932.2653,0.0036,Axis Mutual Fund,AXISEAF,Realty
Bosch Limited,INE323A01026,,7975.0,2859.4363,0.0035,Axis Mutual Fund,AXISEAF,Auto Components
Crompton Greaves Consumer Electricals Limited,INE299U01018,,1087200.0,2792.4732,0.0034,Axis Mutual Fund,AXISEAF,Consumer Durables
Samvardhana Motherson International Limited,INE775A01035,,2300100.0,2743.7893,0.0033,Axis Mutual Fund,AXISEAF,Auto Components
L&T Finance Limited,INE498L01015,,910248.0,2742.5772,0.0033,Axis Mutual Fund,AXISEAF,Finance
Hindustan Zinc Limited,INE267A01025,,426300.0,2714.8916,0.0033,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals
Ambuja Cements Limited,INE079A01024,,477750.0,2649.8404,0.0032,Axis Mutual Fund,AXISEAF,Cement & Cement Products
Adani Green Energy Limited,INE364U01010,,259800.0,2645.0238,0.0032,Axis Mutual Fund,AXISEAF,Power
Adani Ports and Special Economic Zone Limited,INE742F01042,,176225.0,2620.642,0.0032,Axis Mutual Fund,AXISEAF,Transport Infrastructure
IIFL Finance Limited,INE530B01024,,435600.0,2610.333,0.0032,Axis Mutual Fund,AXISEAF,Finance
Bandhan Bank Limited,INE545U01014,,1558800.0,2258.3894,0.0027,Axis Mutual Fund,AXISEAF,Banks
SRF Limited,INE647A01010,,70200.0,2177.3232,0.0026,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
Kaynes Technology India Limited,INE918Z01012,,53300.0,2164.2465,0.0026,Axis Mutual Fund,AXISEAF,Industrial Manufacturing
Nestle India Limited,INE239A01024,,167500.0,2131.605,0.0026,Axis Mutual Fund,AXISEAF,Food Products
Yes Bank Limited,INE528G01035,,9765400.0,2101.5141,0.0025,Axis Mutual Fund,AXISEAF,Banks
Alkem Laboratories Limited,INE540L01014,,37375.0,2068.7063,0.0025,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
BSE Limited,INE118H01025,,78000.0,2066.22,0.0025,Axis Mutual Fund,AXISEAF,Capital Markets
Polycab India Limited,INE455K01017,,27250.0,2059.1463,0.0025,Axis Mutual Fund,AXISEAF,Industrial Products
Canara Bank,INE476A01022,,1363500.0,2046.2045,0.0025,Axis Mutual Fund,AXISEAF,Banks
Solar Industries India Limited,INE343H01029,,16425.0,2042.7773,0.0025,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals
Larsen & Toubro Limited,INE018A01030,,48650.0,1969.0115,0.0024,Axis Mutual Fund,AXISEAF,Construction
Tata Consumer Products Limited,INE192A01025,,165000.0,1939.905,0.0023,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products
Exide Industries Limited,INE302A01020,,531000.0,1938.9465,0.0023,Axis Mutual Fund,AXISEAF,Auto Components
Bharat Dynamics Limited,INE171Z01026,,127725.0,1887.6478,0.0023,Axis Mutual Fund,AXISEAF,Aerospace & Defense
PB Fintech Limited,INE417T01026,,96950.0,1851.1633,0.0022,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech)
Sun Pharmaceutical Industries Limited,INE044A01036,,107100.0,1841.5845,0.0022,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology
