Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,22092.236,2543.6706,0.0027,Axis Mutual Fund,AXISCOF,,2020-12-12
Sub Total,,,,2543.6706,0.0027,Axis Mutual Fund,AXISCOF,,2020-12-12
Total,,,,2543.6706,0.0027,Axis Mutual Fund,AXISCOF,,2020-12-12
Clearing Corporation of India Ltd,,,,14622.8628,0.0153,Axis Mutual Fund,AXISCOF,,2020-12-12
Sub Total,,,,14622.8628,0.0153,Axis Mutual Fund,AXISCOF,,2020-12-12
Total,,,,14622.8628,0.0153,Axis Mutual Fund,AXISCOF,,2020-12-12
Net Receivables / (Payables),,,,33437.9345,0.0349,Axis Mutual Fund,AXISCOF,,2020-12-12
GRAND TOTAL,,,,957369.6,1.0,Axis Mutual Fund,AXISCOF,,2020-12-12
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,17000000.0,17150.722,0.1444,Axis Mutual Fund,AXISDBF,,2020-12-12
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,11500000.0,11406.689,0.096,Axis Mutual Fund,AXISDBF,,2020-12-12
6.33% Government of India (05/05/2035),IN0020250026,Sovereign,9000000.0,8824.959,0.0743,Axis Mutual Fund,AXISDBF,,2020-12-12
7.43% Maharashtra State Development Loans (03/12/2040),IN2220250392,Sovereign,5500000.0,5514.817,0.0464,Axis Mutual Fund,AXISDBF,,2020-12-12
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,4500000.0,4472.9685,0.0377,Axis Mutual Fund,AXISDBF,,2020-12-12
7.52% Power Grid Corporation of India Limited (23/03/2033) ,INE752E08684,CRISIL AAA,5000.0,3837.54,0.0323,Axis Mutual Fund,AXISDBF,,2020-12-12
7.44% Indian Railway Finance Corporation Limited (28/02/2034) ,INE053F08379,CRISIL AAA,2500.0,2541.5875,0.0214,Axis Mutual Fund,AXISDBF,,2020-12-12
7.14% National Housing Bank (17/11/2034) ,INE557F08GA2,CRISIL AAA,2500.0,2499.6625,0.021,Axis Mutual Fund,AXISDBF,,2020-12-12
6.9% Government of India (15/04/2065),IN0020250018,Sovereign,2672500.0,2497.6891,0.021,Axis Mutual Fund,AXISDBF,,2020-12-12
7.09% Government of India (05/08/2054),IN0020240118,Sovereign,2500000.0,2411.6525,0.0203,Axis Mutual Fund,AXISDBF,,2020-12-12
7.09% Government of India (25/11/2074),IN0020240142,Sovereign,2500000.0,2380.85,0.02,Axis Mutual Fund,AXISDBF,,2020-12-12
7.49% TELANGANA State Development Loans (03/12/2039),IN4520250569,Sovereign,2000000.0,2003.314,0.0169,Axis Mutual Fund,AXISDBF,,2020-12-12
8.12% NHPC Limited (22/03/2029) ,INE848E08136,CARE AAA,150.0,1564.149,0.0132,Axis Mutual Fund,AXISDBF,,2020-12-12
8.35% Indian Railway Finance Corporation Limited (13/03/2029) ,INE053F07BC1,CRISIL AAA,150.0,1561.6425,0.0131,Axis Mutual Fund,AXISDBF,,2020-12-12
8.23% Indian Railway Finance Corporation Limited (29/03/2029) ,INE053F07BE7,CRISIL AAA,150.0,1557.2565,0.0131,Axis Mutual Fund,AXISDBF,,2020-12-12
7.26% Government of India (22/08/2032),IN0020220060,Sovereign,1500000.0,1553.2845,0.0131,Axis Mutual Fund,AXISDBF,,2020-12-12
7.60% National Bank For Agriculture and Rural Development (23/11/2032) ,INE261F08931,CRISIL AAA,150.0,1548.948,0.013,Axis Mutual Fund,AXISDBF,,2020-12-12
7.46% Uttar Pradesh State Development Loans (28/02/2034),IN3320230276,Sovereign,1500000.0,1512.963,0.0127,Axis Mutual Fund,AXISDBF,,2020-12-12
7.47% Uttarakhand State Development Loans (20/03/2034),IN3620230075,Sovereign,1500000.0,1511.034,0.0127,Axis Mutual Fund,AXISDBF,,2020-12-12
7.54% Government of India (23/05/2036),IN0020220029,Sovereign,1000000.0,1052.024,0.0089,Axis Mutual Fund,AXISDBF,,2020-12-12
7.88% Export Import Bank of India (11/01/2033) ,INE514E08FQ4,CRISIL AAA,100.0,1044.298,0.0088,Axis Mutual Fund,AXISDBF,,2020-12-12
7.9% Andhra Pradesh State Development Loans (01/06/2034),IN1020220167,Sovereign,1000000.0,1038.431,0.0087,Axis Mutual Fund,AXISDBF,,2020-12-12
7.75% Uttar Pradesh State Development Loans (29/11/2034),IN3320230201,Sovereign,1000000.0,1028.152,0.0087,Axis Mutual Fund,AXISDBF,,2020-12-12
7.68% Uttar Pradesh State Development Loans (18/10/2034),IN3320230102,Sovereign,1000000.0,1023.298,0.0086,Axis Mutual Fund,AXISDBF,,2020-12-12
7.41% Uttar Pradesh State Development Loans (14/06/2034),IN3320230037,Sovereign,1000000.0,1005.906,0.0085,Axis Mutual Fund,AXISDBF,,2020-12-12
7.02% Export Import Bank of India (25/11/2031) ,INE514E08FH3,CRISIL AAA,100.0,1004.884,0.0085,Axis Mutual Fund,AXISDBF,,2020-12-12
7.03% Indian Railway Finance Corporation Limited (30/07/2036) ,INE053F08114,CRISIL AAA,100.0,984.842,0.0083,Axis Mutual Fund,AXISDBF,,2020-12-12
6.81% REC Limited (30/04/2036) ,INE020B08FV8,ICRA AAA,1000.0,968.912,0.0082,Axis Mutual Fund,AXISDBF,,2020-12-12
8.49% National Highways Authority Of India (05/02/2029) ,INE906B07GO3,CRISIL AAA,88.0,921.5386,0.0078,Axis Mutual Fund,AXISDBF,,2020-12-12
7.4% REC Limited (15/03/2036) ,INE020B08DO8,CRISIL AAA,90.0,909.7344,0.0077,Axis Mutual Fund,AXISDBF,,2020-12-12
8.80% REC Limited (14/05/2029) ,INE020B08BS3,CRISIL AAA,50.0,528.478,0.0044,Axis Mutual Fund,AXISDBF,,2020-12-12
8.5% National Bank For Agriculture and Rural Development (27/02/2029) ,INE261F08BC8,CRISIL AAA,50.0,524.335,0.0044,Axis Mutual Fund,AXISDBF,,2020-12-12
8.55% HDFC Bank Limited (27/03/2029) ,INE040A08724,CRISIL AAA,50.0,521.5475,0.0044,Axis Mutual Fund,AXISDBF,,2020-12-12
8.27% National Highways Authority Of India (28/03/2029) ,INE906B07GP0,CRISIL AAA,50.0,521.2965,0.0044,Axis Mutual Fund,AXISDBF,,2020-12-12
8.15% National Bank For Agriculture and Rural Development (28/03/2029) ,INE261F08BH7,CRISIL AAA,50.0,519.807,0.0044,Axis Mutual Fund,AXISDBF,,2020-12-12
8.05% HDFC Bank Limited (22/10/2029) ,INE040A08AC9,CRISIL AAA,50.0,516.3925,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
7.79% Power Finance Corporation Limited (22/07/2030) ,INE134E08KU3,CRISIL AAA,50.0,514.8185,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
7.5% NHPC Limited (06/10/2029) ,INE848E07AS5,ICRA AAA,250.0,511.178,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
7.49% National Highways Authority Of India (01/08/2029) ,INE906B07HG7,CRISIL AAA,50.0,511.0175,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
7.5% NHPC Limited (07/10/2027) ,INE848E07AQ9,ICRA AAA,250.0,507.881,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
7.4% Power Finance Corporation Limited (08/05/2030) ,INE134E08KQ1,CRISIL AAA,50.0,507.522,0.0043,Axis Mutual Fund,AXISDBF,,2020-12-12
6.97% National Bank For Agriculture and Rural Development (17/03/2031) ,INE261F08CZ7,ICRA AAA,50.0,501.5355,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-12
6.8% State Bank of India (21/08/2035) ,INE062A08231,CRISIL AAA,50.0,494.1865,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-12
8.20% Power Grid Corporation of India Limited (23/01/2030) ,INE752E07MH7,CRISIL AAA,40.0,417.7416,0.0035,Axis Mutual Fund,AXISDBF,,2020-12-12
7.1% Government of India (18/04/2029),IN0020220011,Sovereign,400000.0,413.6152,0.0035,Axis Mutual Fund,AXISDBF,,2020-12-12
6.63% Maharashtra State Development Loans (14/10/2030),IN2220200264,Sovereign,394100.0,391.7642,0.0033,Axis Mutual Fund,AXISDBF,,2020-12-12
6.51% Karnataka State Development Loans (30/12/2030),IN1920200533,Sovereign,364800.0,360.742,0.003,Axis Mutual Fund,AXISDBF,,2020-12-12
9.41% India Infrastructure Fin Co Ltd (27/07/2037) ,INE787H07057,CRISIL AAA,25.0,288.381,0.0024,Axis Mutual Fund,AXISDBF,,2020-12-12
7.04% Gujarat State Development Loans (18/03/2030),IN1520190217,Sovereign,120300.0,121.5395,0.001,Axis Mutual Fund,AXISDBF,,2020-12-12
6.19% Government of India (16/09/2034),IN0020200096,Sovereign,100000.0,96.8906,0.0008,Axis Mutual Fund,AXISDBF,,2020-12-12
7.24% Government of India (18/08/2055),IN0020250075,Sovereign,36700.0,36.2438,0.0003,Axis Mutual Fund,AXISDBF,,2020-12-12
8.60% Government of India (02/06/2028),IN0020140011,Sovereign,30000.0,31.8831,0.0003,Axis Mutual Fund,AXISDBF,,2020-12-12
Sub Total,,,,96172.545,0.8096,Axis Mutual Fund,AXISDBF,,2020-12-12
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISDBF,,2020-12-12
Sub Total,,,,,,Axis Mutual Fund,AXISDBF,,2020-12-12
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),11.0,1113.0316,0.0094,Axis Mutual Fund,AXISDBF,,2020-12-12
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),11.0,1112.6091,0.0094,Axis Mutual Fund,AXISDBF,,2020-12-12
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),8.0,807.2733,0.0068,Axis Mutual Fund,AXISDBF,,2020-12-12
Sub Total,,,,3032.914,0.0255,Axis Mutual Fund,AXISDBF,,2020-12-12
Total,,,,99205.459,0.8351,Axis Mutual Fund,AXISDBF,,2020-12-12
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4323.366,497.7866,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-12
Sub Total,,,,497.7866,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-12
Total,,,,497.7866,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-12
Clearing Corporation of India Ltd,,,,17239.3886,0.1451,Axis Mutual Fund,AXISDBF,,2020-12-12
Sub Total,,,,17239.3886,0.1451,Axis Mutual Fund,AXISDBF,,2020-12-12
Total,,,,17239.3886,0.1451,Axis Mutual Fund,AXISDBF,,2020-12-12
Net Receivables / (Payables),,,,1853.3658,0.0156,Axis Mutual Fund,AXISDBF,,2020-12-12
GRAND TOTAL,,,,118796.0,1.0,Axis Mutual Fund,AXISDBF,,2020-12-12
Vodafone Idea Limited,INE669E01016,,275107275.0,32022.4868,0.0401,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-12
HDFC Bank Limited,INE040A01034,,3040400.0,30449.606,0.0381,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Eternal Limited,INE758T01015,,7570850.0,22564.9184,0.0283,Axis Mutual Fund,AXISEAF,Retailing,2020-12-12
Reliance Industries Limited,INE002A01018,,1384500.0,21549.7425,0.027,Axis Mutual Fund,AXISEAF,Petroleum Products,2020-12-12
ICICI Bank Limited,INE090A01021,,1274700.0,17412.402,0.0218,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
State Bank of India,INE062A01020,,1650000.0,15891.975,0.0199,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
IDFC First Bank Limited,INE092T01019,,19245625.0,15837.2248,0.0198,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
UltraTech Cement Limited,INE481G01011,,123800.0,14513.074,0.0182,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-12
Aditya Birla Capital Limited,INE674K01013,,3379000.0,12264.0805,0.0154,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Bank of Baroda,INE028A01039,,4267575.0,12139.1171,0.0152,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
RBL Bank Limited,INE976G01028,,3860800.0,11875.8208,0.0149,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Kotak Mahindra Bank Limited,INE237A01028,,506800.0,11031.0088,0.0138,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Tata Consultancy Services Limited,INE467B01029,,313775.0,10105.1239,0.0127,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-12
Punjab National Bank,INE160A01022,,8184000.0,9641.5704,0.0121,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Godrej Properties Limited,INE484J01027,,457325.0,9489.9511,0.0119,Axis Mutual Fund,AXISEAF,Realty,2020-12-12
Bajaj Finance Limited,INE296A01032,,914250.0,9300.6653,0.0116,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Container Corporation of India Limited,INE111A01025,,1735000.0,8770.425,0.011,Axis Mutual Fund,AXISEAF,Transport Services,2020-12-12
Indus Towers Limited,INE121J01017,,2029800.0,8427.7296,0.0106,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-12
Titan Company Limited,INE280A01028,,216475.0,8399.663,0.0105,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-12
GMR Airports Limited,INE776C01039,,7602750.0,7932.7094,0.0099,Axis Mutual Fund,AXISEAF,Transport Infrastructure,2020-12-12
Bharti Airtel Limited,INE397D01024,,377150.0,7857.5431,0.0098,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-12
Mahindra & Mahindra Limited,INE101A01026,,210600.0,7749.2376,0.0097,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-12
Grasim Industries Limited,INE047A01021,,271500.0,7701.6405,0.0096,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-12
DLF Limited,INE271C01023,,1071675.0,7495.295,0.0094,Axis Mutual Fund,AXISEAF,Realty,2020-12-12
Shriram Finance Limited,INE721A01047,,875325.0,7422.756,0.0093,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Multi Commodity Exchange of India Limited,INE745G01035,,72500.0,7367.45,0.0092,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-12
PNB Housing Finance Limited,INE572E01012,,771550.0,7230.1951,0.0091,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Marico Limited,INE196A01026,,966000.0,7023.303,0.0088,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-12
IndusInd Bank Limited,INE095A01012,,826000.0,6989.199,0.0088,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Sona BLW Precision Forgings Limited,INE073K01018,,1404375.0,6916.5469,0.0087,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-12
Vedanta Limited,INE205A01025,,1177600.0,6401.4336,0.008,Axis Mutual Fund,AXISEAF,Diversified Metals,2020-12-12
Tata Power Company Limited,INE245A01021,,1671850.0,6385.6311,0.008,Axis Mutual Fund,AXISEAF,Power,2020-12-12
Hindalco Industries Limited,INE038A01020,,741300.0,6316.6173,0.0079,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-12
Aurobindo Pharma Limited,INE406A01037,,477400.0,5705.4074,0.0071,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
JSW Steel Limited,INE019A01038,,505575.0,5690.2466,0.0071,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-12
ITC Limited,INE154A01025,,1417600.0,5671.8176,0.0071,Axis Mutual Fund,AXISEAF,Diversified FMCG,2020-12-12
Tata Steel Limited,INE081A01020,,3272500.0,5625.1003,0.007,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-12
Glenmark Pharmaceuticals Limited,INE935A01035,,275625.0,5443.5938,0.0068,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
Pidilite Industries Limited,INE318A01026,,363500.0,5368.168,0.0067,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-12
Trent Limited,INE849A01020,,129200.0,5265.4168,0.0066,Axis Mutual Fund,AXISEAF,Retailing,2020-12-12
JSW Energy Limited,INE121E01018,,1026000.0,4947.372,0.0062,Axis Mutual Fund,AXISEAF,Power,2020-12-12
Jio Financial Services Limited,INE758E01017,,1637950.0,4926.1346,0.0062,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Maruti Suzuki India Limited,INE585B01010,,29150.0,4816.163,0.006,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-12
NMDC Limited,INE584A01023,,6122250.0,4771.6817,0.006,Axis Mutual Fund,AXISEAF,Minerals & Mining,2020-12-12
Kalyan Jewellers India Limited,INE303R01014,,952925.0,4567.3695,0.0057,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-12
REC Limited,INE020B01018,,1266075.0,4360.3623,0.0055,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Dixon Technologies (India) Limited,INE935N01020,,31200.0,4174.248,0.0052,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-12
Bharat Electronics Limited,INE263A01024,,1044525.0,4067.9026,0.0051,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-12
Divi's Laboratories Limited,INE361B01024,,62200.0,3997.283,0.005,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
TVS Motor Company Limited,INE494B01023,,106225.0,3882.7362,0.0049,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-12
APL Apollo Tubes Limited,INE702C01027,,216300.0,3759.0777,0.0047,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-12
Varun Beverages Limited,INE200M01039,,719850.0,3454.9201,0.0043,Axis Mutual Fund,AXISEAF,Beverages,2020-12-12
LIC Housing Finance Limited,INE115A01026,,638000.0,3396.712,0.0043,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
United Spirits Limited,INE854D01024,,233600.0,3380.4256,0.0042,Axis Mutual Fund,AXISEAF,Beverages,2020-12-12
Apollo Hospitals Enterprise Limited,INE437A01024,,46500.0,3301.965,0.0041,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-12
UNO Minda Limited,INE405E01023,,254650.0,3178.2867,0.004,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-12
Hero MotoCorp Limited,INE158A01026,,52200.0,3111.12,0.0039,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-12
Adani Energy Solutions Limited,INE931S01010,,302400.0,3058.1712,0.0038,Axis Mutual Fund,AXISEAF,Power,2020-12-12
NBCC (India) Limited,INE095N01031,,2782000.0,3048.2374,0.0038,Axis Mutual Fund,AXISEAF,Construction,2020-12-12
Bosch Limited,INE323A01026,,8075.0,2964.7363,0.0037,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-12
Britannia Industries Limited,INE216A01030,,49250.0,2913.3838,0.0036,Axis Mutual Fund,AXISEAF,Food Products,2020-12-12
Samvardhana Motherson International Limited,INE775A01035,,2355450.0,2857.1609,0.0036,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-12
Tech Mahindra Limited,INE669C01036,,180600.0,2850.5904,0.0036,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-12
Crompton Greaves Consumer Electricals Limited,INE299U01018,,1087200.0,2762.5752,0.0035,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-12
L&T Finance Limited,INE498L01015,,879014.0,2706.0446,0.0034,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Adani Green Energy Limited,INE364U01010,,259800.0,2702.4396,0.0034,Axis Mutual Fund,AXISEAF,Power,2020-12-12
UPL Limited,INE628A01036,,356365.0,2666.8575,0.0033,Axis Mutual Fund,AXISEAF,Fertilizers & Agrochemicals,2020-12-12
Ambuja Cements Limited,INE079A01024,,477750.0,2618.7866,0.0033,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-12
Adani Ports and Special Economic Zone Limited,INE742F01042,,170525.0,2596.7547,0.0033,Axis Mutual Fund,AXISEAF,Transport Infrastructure,2020-12-12
Lodha Developers Limited,INE670K01029,,232650.0,2538.4442,0.0032,Axis Mutual Fund,AXISEAF,Realty,2020-12-12
IIFL Finance Limited,INE530B01024,,435600.0,2530.836,0.0032,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Bharat Dynamics Limited,INE171Z01026,,170300.0,2401.0597,0.003,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-12
Hindustan Zinc Limited,INE267A01025,,426300.0,2394.314,0.003,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-12
Kaynes Technology India Limited,INE918Z01012,,54600.0,2328.963,0.0029,Axis Mutual Fund,AXISEAF,Industrial Manufacturing,2020-12-12
Bandhan Bank Limited,INE545U01014,,1551600.0,2320.7281,0.0029,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Max Healthcare Institute Limited,INE027H01010,,205275.0,2219.6386,0.0028,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-12
Canara Bank,INE476A01022,,1498500.0,2197.2506,0.0028,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Yes Bank Limited,INE528G01035,,9889800.0,2167.8442,0.0027,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
BSE Limited,INE118H01025,,78000.0,2133.3,0.0027,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-12
SRF Limited,INE647A01010,,70400.0,2128.6144,0.0027,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-12
Alkem Laboratories Limited,INE540L01014,,37375.0,2104.5863,0.0026,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
Larsen & Toubro Limited,INE018A01030,,50925.0,2074.7354,0.0026,Axis Mutual Fund,AXISEAF,Construction,2020-12-12
Nestle India Limited,INE239A01024,,167500.0,2074.1525,0.0026,Axis Mutual Fund,AXISEAF,Food Products,2020-12-12
Solar Industries India Limited,INE343H01029,,16425.0,2020.932,0.0025,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-12
Exide Industries Limited,INE302A01020,,531000.0,1984.6125,0.0025,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-12
Polycab India Limited,INE455K01017,,24875.0,1810.0294,0.0023,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-12
Mphasis Limited,INE356A01018,,59950.0,1746.1637,0.0022,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-12
Tata Consumer Products Limited,INE192A01025,,147950.0,1700.3894,0.0021,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-12
Laurus Labs Limited,INE947Q01028,,159800.0,1617.6554,0.002,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
Cholamandalam Investment and Finance Company Ltd,INE121A01024,,93125.0,1616.2775,0.002,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Sammaan Capital Limited,INE148I01020,,1079300.0,1613.4456,0.002,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Patanjali Foods Limited,INE619A01035,,295200.0,1584.7812,0.002,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-12
ICICI Prudential Life Insurance Company Limited,INE726G01019,,244200.0,1581.3171,0.002,Axis Mutual Fund,AXISEAF,Insurance,2020-12-12
Bajaj Finserv Limited,INE918I01026,,74000.0,1541.494,0.0019,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
Petronet LNG Limited,INE347G01014,,567000.0,1524.9465,0.0019,Axis Mutual Fund,AXISEAF,Gas,2020-12-12
Life Insurance Corporation Of India,INE0J1Y01017,,174300.0,1512.2268,0.0019,Axis Mutual Fund,AXISEAF,Insurance,2020-12-12
Indian Energy Exchange Limited,INE022Q01020,,1035000.0,1482.12,0.0019,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-12
Prestige Estates Projects Limited,INE811K01011,,85500.0,1420.0695,0.0018,Axis Mutual Fund,AXISEAF,Realty,2020-12-12
PB Fintech Limited,INE417T01026,,73500.0,1415.0955,0.0018,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech),2020-12-12
AU Small Finance Bank Limited,INE949L01017,,146000.0,1413.353,0.0018,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Hindustan Petroleum Corporation Limited,INE094A01015,,289575.0,1331.7554,0.0017,Axis Mutual Fund,AXISEAF,Petroleum Products,2020-12-12
Hindustan Aeronautics Limited,INE066F01020,,29850.0,1284.2963,0.0016,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-12
Persistent Systems Limited,INE262H01021,,19700.0,1248.2905,0.0016,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-12
Power Grid Corporation of India Limited,INE752E01010,,467400.0,1232.0664,0.0015,Axis Mutual Fund,AXISEAF,Power,2020-12-12
The Indian Hotels Company Limited,INE053A01029,,166000.0,1220.183,0.0015,Axis Mutual Fund,AXISEAF,Leisure Services,2020-12-12
HDFC Asset Management Company Limited,INE127D01025,,45000.0,1203.615,0.0015,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-12
One 97 Communications Limited,INE982J01020,,92075.0,1201.3025,0.0015,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech),2020-12-12
Godrej Consumer Products Limited,INE102D01028,,99500.0,1148.031,0.0014,Axis Mutual Fund,AXISEAF,Personal Products,2020-12-12
InterGlobe Aviation Limited,INE646L01027,,23550.0,1144.6478,0.0014,Axis Mutual Fund,AXISEAF,Transport Services,2020-12-12
Mazagon Dock Shipbuilders Limited,INE249Z01020,,46550.0,1144.5249,0.0014,Axis Mutual Fund,AXISEAF,Industrial Manufacturing,2020-12-12
Biocon Limited,INE376G01013,,295000.0,1139.7325,0.0014,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
Syngene International Limited,INE398R01022,,160000.0,1035.2,0.0013,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-12
Union Bank of India,INE692A01016,,641625.0,980.018,0.0012,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Inox Wind Limited,INE066P01011,,781160.0,973.4035,0.0012,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-12
Fortis Healthcare Limited,INE061F01013,,101525.0,887.3793,0.0011,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-12
Indian Bank,INE562A01011,,112000.0,884.072,0.0011,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
National Aluminium Company Limited,INE139A01034,,303750.0,844.8806,0.0011,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-12
HFCL Limited,INE548A01028,,1180350.0,785.641,0.001,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-12
Bank of India,INE084A01016,,556400.0,785.1917,0.001,Axis Mutual Fund,AXISEAF,Banks,2020-12-12
Max Financial Services Limited,INE180A01020,,44800.0,770.112,0.001,Axis Mutual Fund,AXISEAF,Insurance,2020-12-12
NTPC Limited,INE733E01010,,225000.0,731.3625,0.0009,Axis Mutual Fund,AXISEAF,Power,2020-12-12
FSN E-Commerce Ventures Limited,INE388Y01029,,281250.0,706.2188,0.0009,Axis Mutual Fund,AXISEAF,Retailing,2020-12-12
The Phoenix Mills Limited,INE211B01039,,38500.0,681.7965,0.0009,Axis Mutual Fund,AXISEAF,Realty,2020-12-12
Sun Pharmaceutical Industries Limited,INE044A01036,,37450.0,671.6658,0.0008,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-12
Power Finance Corporation Limited,INE134E01011,,193700.0,666.7154,0.0008,Axis Mutual Fund,AXISEAF,Finance,2020-12-12
