Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
6.51% Karnataka State Development Loans (30/12/2030),IN1920200533,Sovereign,364800.0,362.493,0.003,Axis Mutual Fund,AXISDBF,,2020-12-05
9.41% India Infrastructure Fin Co Ltd (27/07/2037) ,INE787H07057,CRISIL AAA,25.0,290.1223,0.0024,Axis Mutual Fund,AXISDBF,,2020-12-05
6.9% Government of India (15/04/2065),IN0020250018,Sovereign,172500.0,161.9373,0.0014,Axis Mutual Fund,AXISDBF,,2020-12-05
7.04% Gujarat State Development Loans (18/03/2030),IN1520190217,Sovereign,120300.0,122.0631,0.001,Axis Mutual Fund,AXISDBF,,2020-12-05
6.19% Government of India (16/09/2034),IN0020200096,Sovereign,100000.0,97.3275,0.0008,Axis Mutual Fund,AXISDBF,,2020-12-05
7.24% Government of India (18/08/2055),IN0020250075,Sovereign,36700.0,36.4761,0.0003,Axis Mutual Fund,AXISDBF,,2020-12-05
8.60% Government of India (02/06/2028),IN0020140011,Sovereign,30000.0,31.9447,0.0003,Axis Mutual Fund,AXISDBF,,2020-12-05
Sub Total,,,,103983.9072,0.8717,Axis Mutual Fund,AXISDBF,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISDBF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISDBF,,2020-12-05
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),11.0,1117.5618,0.0094,Axis Mutual Fund,AXISDBF,,2020-12-05
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),11.0,1116.0697,0.0094,Axis Mutual Fund,AXISDBF,,2020-12-05
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),8.0,809.9666,0.0068,Axis Mutual Fund,AXISDBF,,2020-12-05
Sub Total,,,,3043.5981,0.0255,Axis Mutual Fund,AXISDBF,,2020-12-05
Total,,,,107027.5053,0.8972,Axis Mutual Fund,AXISDBF,,2020-12-05
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,4323.366,497.3627,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-05
Sub Total,,,,497.3627,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-05
Total,,,,497.3627,0.0042,Axis Mutual Fund,AXISDBF,,2020-12-05
Clearing Corporation of India Ltd,,,,17993.4135,0.1508,Axis Mutual Fund,AXISDBF,,2020-12-05
Sub Total,,,,17993.4135,0.1508,Axis Mutual Fund,AXISDBF,,2020-12-05
Total,,,,17993.4135,0.1508,Axis Mutual Fund,AXISDBF,,2020-12-05
Net Receivables / (Payables),,,,-6228.9315,-0.0522,Axis Mutual Fund,AXISDBF,,2020-12-05
GRAND TOTAL,,,,119289.35,1.0,Axis Mutual Fund,AXISDBF,,2020-12-05
HDFC Bank Limited,INE040A01034,,3040400.0,30504.3332,0.0379,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Vodafone Idea Limited,INE669E01016,,275107275.0,29711.5857,0.0369,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-05
Eternal Limited,INE758T01015,,7599950.0,22222.2538,0.0276,Axis Mutual Fund,AXISEAF,Retailing,2020-12-05
Reliance Industries Limited,INE002A01018,,1394000.0,21475.964,0.0267,Axis Mutual Fund,AXISEAF,Petroleum Products,2020-12-05
ICICI Bank Limited,INE090A01021,,1274700.0,17750.1975,0.022,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
IDFC First Bank Limited,INE092T01019,,19987625.0,16163.9923,0.0201,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
State Bank of India,INE062A01020,,1650000.0,16029.75,0.0199,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
UltraTech Cement Limited,INE481G01011,,123800.0,14357.086,0.0178,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-05
Bank of Baroda,INE028A01039,,4273425.0,12504.0416,0.0155,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Aditya Birla Capital Limited,INE674K01013,,3382100.0,12133.2838,0.0151,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
RBL Bank Limited,INE976G01028,,3686175.0,11272.3232,0.014,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Tata Consultancy Services Limited,INE467B01029,,313775.0,10160.6621,0.0126,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Punjab National Bank,INE160A01022,,8184000.0,9960.7464,0.0124,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Kotak Mahindra Bank Limited,INE237A01028,,439600.0,9472.9404,0.0118,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Godrej Properties Limited,INE484J01027,,453750.0,9448.89,0.0117,Axis Mutual Fund,AXISEAF,Realty,2020-12-05
Titan Company Limited,INE280A01028,,222600.0,8488.4058,0.0105,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
GMR Airports Limited,INE776C01039,,8070075.0,8353.3346,0.0104,Axis Mutual Fund,AXISEAF,Transport Infrastructure,2020-12-05
Indus Towers Limited,INE121J01017,,2007700.0,8346.0089,0.0104,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-05
Container Corporation of India Limited,INE111A01025,,1492500.0,7627.4213,0.0095,Axis Mutual Fund,AXISEAF,Transport Services,2020-12-05
Grasim Industries Limited,INE047A01021,,277000.0,7609.19,0.0094,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-05
Bharti Airtel Limited,INE397D01024,,359575.0,7582.7176,0.0094,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-05
DLF Limited,INE271C01023,,1043625.0,7511.4909,0.0093,Axis Mutual Fund,AXISEAF,Realty,2020-12-05
Bajaj Finance Limited,INE296A01032,,714750.0,7490.58,0.0093,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Shriram Finance Limited,INE721A01047,,850575.0,7271.5657,0.009,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
IndusInd Bank Limited,INE095A01012,,824600.0,7174.8446,0.0089,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Marico Limited,INE196A01026,,966000.0,7116.039,0.0088,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-05
Multi Commodity Exchange of India Limited,INE745G01035,,67875.0,7020.3113,0.0087,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
PNB Housing Finance Limited,INE572E01012,,772200.0,6979.5297,0.0087,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Mahindra & Mahindra Limited,INE101A01026,,184200.0,6846.8982,0.0085,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
Sona BLW Precision Forgings Limited,INE073K01018,,1389150.0,6846.4258,0.0085,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
Tata Power Company Limited,INE245A01021,,1671850.0,6428.2633,0.008,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Vedanta Limited,INE205A01025,,1177600.0,6176.512,0.0077,Axis Mutual Fund,AXISEAF,Diversified Metals,2020-12-05
Hindalco Industries Limited,INE038A01020,,741300.0,6102.7523,0.0076,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-05
JSW Steel Limited,INE019A01038,,505575.0,5875.7927,0.0073,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-05
ITC Limited,INE154A01025,,1419200.0,5747.0504,0.0071,Axis Mutual Fund,AXISEAF,Diversified FMCG,2020-12-05
Aurobindo Pharma Limited,INE406A01037,,458150.0,5578.4344,0.0069,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Glenmark Pharmaceuticals Limited,INE935A01035,,275625.0,5424.8513,0.0067,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Pidilite Industries Limited,INE318A01026,,361000.0,5325.111,0.0066,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-05
Tata Steel Limited,INE081A01020,,3140500.0,5248.0896,0.0065,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-05
Dixon Technologies (India) Limited,INE935N01020,,36550.0,5025.2595,0.0062,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
JSW Energy Limited,INE121E01018,,1031000.0,4762.7045,0.0059,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Maruti Suzuki India Limited,INE585B01010,,29150.0,4746.203,0.0059,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
Kalyan Jewellers India Limited,INE303R01014,,952925.0,4693.1556,0.0058,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
NMDC Limited,INE584A01023,,6129000.0,4686.2334,0.0058,Axis Mutual Fund,AXISEAF,Minerals & Mining,2020-12-05
REC Limited,INE020B01018,,1246950.0,4405.4744,0.0055,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Kaynes Technology India Limited,INE918Z01012,,99100.0,4314.3185,0.0054,Axis Mutual Fund,AXISEAF,Industrial Manufacturing,2020-12-05
Jio Financial Services Limited,INE758E01017,,1402950.0,4261.4606,0.0053,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Trent Limited,INE849A01020,,101500.0,4245.8465,0.0053,Axis Mutual Fund,AXISEAF,Retailing,2020-12-05
Bharat Electronics Limited,INE263A01024,,1021725.0,4157.399,0.0052,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-05
Divi's Laboratories Limited,INE361B01024,,64200.0,4155.987,0.0052,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
TVS Motor Company Limited,INE494B01023,,106225.0,3893.5712,0.0048,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
APL Apollo Tubes Limited,INE702C01027,,215950.0,3824.4745,0.0047,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-05
Bosch Limited,INE323A01026,,9475.0,3498.17,0.0043,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
LIC Housing Finance Limited,INE115A01026,,639000.0,3462.102,0.0043,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Varun Beverages Limited,INE200M01039,,713400.0,3423.9633,0.0043,Axis Mutual Fund,AXISEAF,Beverages,2020-12-05
United Spirits Limited,INE854D01024,,234400.0,3411.9264,0.0042,Axis Mutual Fund,AXISEAF,Beverages,2020-12-05
Apollo Hospitals Enterprise Limited,INE437A01024,,46250.0,3325.1438,0.0041,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-05
Hero MotoCorp Limited,INE158A01026,,52200.0,3314.961,0.0041,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
UNO Minda Limited,INE405E01023,,245300.0,3121.1972,0.0039,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
Adani Energy Solutions Limited,INE931S01010,,306450.0,2999.6858,0.0037,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Britannia Industries Limited,INE216A01030,,49250.0,2935.7925,0.0036,Axis Mutual Fund,AXISEAF,Food Products,2020-12-05
NBCC (India) Limited,INE095N01031,,2593500.0,2906.2761,0.0036,Axis Mutual Fund,AXISEAF,Construction,2020-12-05
Crompton Greaves Consumer Electricals Limited,INE299U01018,,1089000.0,2832.489,0.0035,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
Tech Mahindra Limited,INE669C01036,,178200.0,2799.1656,0.0035,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
UPL Limited,INE628A01036,,363140.0,2756.5957,0.0034,Axis Mutual Fund,AXISEAF,Fertilizers & Agrochemicals,2020-12-05
Samvardhana Motherson International Limited,INE775A01035,,2343150.0,2742.6571,0.0034,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
L&T Finance Limited,INE498L01015,,883476.0,2735.2417,0.0034,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
IIFL Finance Limited,INE530B01024,,470250.0,2677.3684,0.0033,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Adani Green Energy Limited,INE364U01010,,260400.0,2650.0908,0.0033,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Larsen & Toubro Limited,INE018A01030,,64050.0,2586.4671,0.0032,Axis Mutual Fund,AXISEAF,Construction,2020-12-05
Bharat Dynamics Limited,INE171Z01026,,170300.0,2575.7875,0.0032,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-05
Adani Ports and Special Economic Zone Limited,INE742F01042,,170525.0,2573.9044,0.0032,Axis Mutual Fund,AXISEAF,Transport Infrastructure,2020-12-05
Ambuja Cements Limited,INE079A01024,,475650.0,2539.0197,0.0032,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-05
Lodha Developers Limited,INE670K01029,,227250.0,2526.111,0.0031,Axis Mutual Fund,AXISEAF,Realty,2020-12-05
Hindustan Zinc Limited,INE267A01025,,481425.0,2397.9779,0.003,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-05
Max Healthcare Institute Limited,INE027H01010,,214200.0,2350.6308,0.0029,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-05
Bandhan Bank Limited,INE545U01014,,1620000.0,2269.296,0.0028,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Yes Bank Limited,INE528G01035,,9889800.0,2235.0948,0.0028,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
SRF Limited,INE647A01010,,77200.0,2227.5288,0.0028,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-05
Canara Bank,INE476A01022,,1498500.0,2227.3704,0.0028,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
BSE Limited,INE118H01025,,78375.0,2206.9616,0.0027,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
Alkem Laboratories Limited,INE540L01014,,37875.0,2149.5956,0.0027,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Nestle India Limited,INE239A01024,,167500.0,2088.5575,0.0026,Axis Mutual Fund,AXISEAF,Food Products,2020-12-05
Exide Industries Limited,INE302A01020,,531000.0,2018.5965,0.0025,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
Solar Industries India Limited,INE343H01029,,15675.0,2009.3783,0.0025,Axis Mutual Fund,AXISEAF,Chemicals & Petrochemicals,2020-12-05
Mphasis Limited,INE356A01018,,59400.0,1754.4384,0.0022,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Tata Consumer Products Limited,INE192A01025,,147950.0,1720.5106,0.0021,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-05
Polycab India Limited,INE455K01017,,23375.0,1696.3238,0.0021,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-05
Sammaan Capital Limited,INE148I01020,,1100800.0,1632.7066,0.002,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Laurus Labs Limited,INE947Q01028,,157250.0,1613.5423,0.002,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Patanjali Foods Limited,INE619A01035,,286200.0,1576.3896,0.002,Axis Mutual Fund,AXISEAF,Agricultural Food & other Products,2020-12-05
Petronet LNG Limited,INE347G01014,,567000.0,1558.116,0.0019,Axis Mutual Fund,AXISEAF,Gas,2020-12-05
Bajaj Finserv Limited,INE918I01026,,74000.0,1551.41,0.0019,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
ICICI Prudential Life Insurance Company Limited,INE726G01019,,244200.0,1528.8141,0.0019,Axis Mutual Fund,AXISEAF,Insurance,2020-12-05
Life Insurance Corporation Of India,INE0J1Y01017,,174300.0,1516.2357,0.0019,Axis Mutual Fund,AXISEAF,Insurance,2020-12-05
Indian Energy Exchange Limited,INE022Q01020,,1035000.0,1503.9585,0.0019,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
Prestige Estates Projects Limited,INE811K01011,,85500.0,1444.6935,0.0018,Axis Mutual Fund,AXISEAF,Realty,2020-12-05
AU Small Finance Bank Limited,INE949L01017,,146000.0,1402.622,0.0017,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
PB Fintech Limited,INE417T01026,,73500.0,1391.943,0.0017,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech),2020-12-05
Hindustan Petroleum Corporation Limited,INE094A01015,,289575.0,1304.101,0.0016,Axis Mutual Fund,AXISEAF,Petroleum Products,2020-12-05
One 97 Communications Limited,INE982J01020,,92075.0,1238.0405,0.0015,Axis Mutual Fund,AXISEAF,Financial Technology (Fintech),2020-12-05
Hindustan Aeronautics Limited,INE066F01020,,27600.0,1226.268,0.0015,Axis Mutual Fund,AXISEAF,Aerospace & Defense,2020-12-05
Mazagon Dock Shipbuilders Limited,INE249Z01020,,46550.0,1217.8877,0.0015,Axis Mutual Fund,AXISEAF,Industrial Manufacturing,2020-12-05
Persistent Systems Limited,INE262H01021,,18600.0,1212.813,0.0015,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Power Grid Corporation of India Limited,INE752E01010,,438900.0,1184.1522,0.0015,Axis Mutual Fund,AXISEAF,Power,2020-12-05
The Indian Hotels Company Limited,INE053A01029,,162000.0,1184.058,0.0015,Axis Mutual Fund,AXISEAF,Leisure Services,2020-12-05
Biocon Limited,INE376G01013,,295000.0,1158.3175,0.0014,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Godrej Consumer Products Limited,INE102D01028,,99500.0,1130.32,0.0014,Axis Mutual Fund,AXISEAF,Personal Products,2020-12-05
Syngene International Limited,INE398R01022,,160000.0,1023.68,0.0013,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-05
InterGlobe Aviation Limited,INE646L01027,,18750.0,1006.9688,0.0012,Axis Mutual Fund,AXISEAF,Transport Services,2020-12-05
Union Bank of India,INE692A01016,,641625.0,983.6111,0.0012,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Inox Wind Limited,INE066P01011,,742744.0,967.3498,0.0012,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
HDFC Asset Management Company Limited,INE127D01025,,35400.0,912.435,0.0011,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
Fortis Healthcare Limited,INE061F01013,,97650.0,867.6691,0.0011,Axis Mutual Fund,AXISEAF,Healthcare Services,2020-12-05
National Aluminium Company Limited,INE139A01034,,303750.0,829.6931,0.001,Axis Mutual Fund,AXISEAF,Non - Ferrous Metals,2020-12-05
HFCL Limited,INE548A01028,,1180350.0,814.7956,0.001,Axis Mutual Fund,AXISEAF,Telecom - Services,2020-12-05
Indian Bank,INE562A01011,,99000.0,800.8605,0.001,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Max Financial Services Limited,INE180A01020,,44800.0,757.2096,0.0009,Axis Mutual Fund,AXISEAF,Insurance,2020-12-05
NTPC Limited,INE733E01010,,225000.0,727.425,0.0009,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Bank of India,INE084A01016,,488800.0,699.5217,0.0009,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
Asian Paints Limited,INE021A01026,,23500.0,697.5975,0.0009,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
The Phoenix Mills Limited,INE211B01039,,39550.0,682.2771,0.0008,Axis Mutual Fund,AXISEAF,Realty,2020-12-05
Oracle Financial Services Software Limited,INE881D01027,,8025.0,659.5748,0.0008,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
FSN E-Commerce Ventures Limited,INE388Y01029,,256250.0,652.925,0.0008,Axis Mutual Fund,AXISEAF,Retailing,2020-12-05
Power Finance Corporation Limited,INE134E01011,,183300.0,646.4075,0.0008,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Bharat Petroleum Corporation Limited,INE029A01011,,163925.0,590.6218,0.0007,Axis Mutual Fund,AXISEAF,Petroleum Products,2020-12-05
Supreme Industries Limited,INE195A01028,,17150.0,578.1437,0.0007,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-05
Cipla Limited,INE059A01026,,36750.0,558.894,0.0007,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Delhivery Limited,INE148O01028,,134875.0,545.7043,0.0007,Axis Mutual Fund,AXISEAF,Transport Services,2020-12-05
Eicher Motors Limited,INE066A01021,,7175.0,517.174,0.0006,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
Cummins India Limited,INE298A01020,,11400.0,509.4546,0.0006,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-05
Tube Investments of India Limited,INE974X01010,,18800.0,501.3396,0.0006,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
Lupin Limited,INE326A01037,,22950.0,481.6746,0.0006,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Sun Pharmaceutical Industries Limited,INE044A01036,,25550.0,461.2542,0.0006,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Suzlon Energy Limited,INE040H01021,,848000.0,438.7552,0.0005,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
Housing & Urban Development Corporation Limited,INE031A01017,,194250.0,437.4899,0.0005,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Dalmia Bharat Limited,INE00R701025,,19175.0,381.3908,0.0005,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-05
Zydus Lifesciences Limited,INE010B01027,,40500.0,377.2373,0.0005,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Siemens Limited,INE003A01024,,10750.0,357.5343,0.0004,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
Cyient Limited,INE136B01020,,30175.0,352.8061,0.0004,Axis Mutual Fund,AXISEAF,IT - Services,2020-12-05
Central Depository Services (India) Limited,INE736A01011,,22325.0,346.1715,0.0004,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
Steel Authority of India Limited,INE114A01011,,258500.0,342.6159,0.0004,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-05
Shree Cement Limited,INE070A01015,,1200.0,312.9,0.0004,Axis Mutual Fund,AXISEAF,Cement & Cement Products,2020-12-05
Bharat Forge Limited,INE465A01025,,22000.0,309.32,0.0004,Axis Mutual Fund,AXISEAF,Auto Components,2020-12-05
Mankind Pharma Limited,INE634S01028,,13950.0,307.6673,0.0004,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
Torrent Power Limited,INE813H01021,,23250.0,299.9018,0.0004,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Havells India Limited,INE176B01034,,20500.0,294.4825,0.0004,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
Coforge Limited,INE591G01025,,14250.0,281.8508,0.0003,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
The Federal Bank Limited,INE171A01029,,90000.0,233.28,0.0003,Axis Mutual Fund,AXISEAF,Banks,2020-12-05
HDFC Life Insurance Company Limited,INE795G01014,,24200.0,185.9286,0.0002,Axis Mutual Fund,AXISEAF,Insurance,2020-12-05
Indian Railway Finance Corporation Limited,INE053F01010,,161500.0,185.079,0.0002,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Muthoot Finance Limited,INE414G01012,,4675.0,177.6547,0.0002,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Bharat Heavy Electricals Limited,INE257A01026,,60375.0,167.6916,0.0002,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
CG Power and Industrial Solutions Limited,INE067A01029,,24650.0,163.0228,0.0002,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
NHPC Limited,INE848E01016,,192000.0,147.9744,0.0002,Axis Mutual Fund,AXISEAF,Power,2020-12-05
Nuvama Wealth Management Limited,INE531F01015,,1950.0,139.8638,0.0002,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
HCL Technologies Limited,INE860A01027,,7350.0,123.7005,0.0002,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Torrent Pharmaceuticals Limited,INE685A01028,,3250.0,123.0418,0.0002,Axis Mutual Fund,AXISEAF,Pharmaceuticals & Biotechnology,2020-12-05
NCC Limited,INE868B01028,,72900.0,122.5886,0.0002,Axis Mutual Fund,AXISEAF,Construction,2020-12-05
Computer Age Management Services Limited,INE596I01020,,14250.0,110.5373,0.0001,Axis Mutual Fund,AXISEAF,Capital Markets,2020-12-05
Info Edge (India) Limited,INE663F01032,,7875.0,109.3601,0.0001,Axis Mutual Fund,AXISEAF,Retailing,2020-12-05
Manappuram Finance Limited,INE522D01027,,39000.0,109.083,0.0001,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
PG Electroplast Limited,INE457L01029,,19600.0,108.5644,0.0001,Axis Mutual Fund,AXISEAF,Consumer Durables,2020-12-05
Tata Elxsi Limited,INE670A01012,,2000.0,104.35,0.0001,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Avenue Supermarts Limited,INE192R01011,,2400.0,94.8504,0.0001,Axis Mutual Fund,AXISEAF,Retailing,2020-12-05
SBI Cards and Payment Services Limited,INE018E01016,,9600.0,84.9744,0.0001,Axis Mutual Fund,AXISEAF,Finance,2020-12-05
Tata Motors Passenger Vehicles Limited,INE155A01022,,18400.0,65.0624,0.0001,Axis Mutual Fund,AXISEAF,Automobiles,2020-12-05
Hitachi Energy India Limited,INE07Y701011,,300.0,57.915,0.0001,Axis Mutual Fund,AXISEAF,Electrical Equipment,2020-12-05
ICICI Lombard General Insurance Company Limited,INE765G01017,,2925.0,57.7512,0.0001,Axis Mutual Fund,AXISEAF,Insurance,2020-12-05
Jindal Steel Limited,INE749A01030,,5625.0,56.6325,0.0001,Axis Mutual Fund,AXISEAF,Ferrous Metals,2020-12-05
Dabur India Limited,INE016A01026,,8750.0,44.6338,0.0001,Axis Mutual Fund,AXISEAF,Personal Products,2020-12-05
Astral Limited,INE006I01046,,2975.0,43.4201,0.0001,Axis Mutual Fund,AXISEAF,Industrial Products,2020-12-05
Coal India Limited,INE522F01014,,10800.0,41.0346,0.0001,Axis Mutual Fund,AXISEAF,Consumable Fuels,2020-12-05
Jubilant Foodworks Limited,INE797F01020,,6250.0,37.075,0.0,Axis Mutual Fund,AXISEAF,Leisure Services,2020-12-05
LTIMindtree Limited,INE214T01019,,450.0,28.314,0.0,Axis Mutual Fund,AXISEAF,IT - Software,2020-12-05
Adani Enterprises Limited,INE423A01024,,1236.0,28.0003,0.0,Axis Mutual Fund,AXISEAF,Metals & Minerals Trading,2020-12-05
Tata Technologies Limited,INE142M01025,,4000.0,26.658,0.0,Axis Mutual Fund,AXISEAF,IT - Services,2020-12-05
Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,,875.0,5.908,0.0,Axis Mutual Fund,AXISEAF,Leisure Services,2020-12-05
Colgate Palmolive (India) Limited,INE259A01022,,225.0,4.8699,0.0,Axis Mutual Fund,AXISEAF,Personal Products,2020-12-05
Sub Total,,,,612137.7282,0.7599,Axis Mutual Fund,AXISEAF,,2020-12-05
(b) Unlisted,,,,,,Axis Mutual Fund,AXISEAF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISEAF,,2020-12-05
Total,,,,612137.7282,0.7599,Axis Mutual Fund,AXISEAF,,2020-12-05
Colgate Palmolive (India) Limited December 2025 Future,,,-225.0,-4.8989,0.0,Axis Mutual Fund,AXISEAF,,2020-12-05
Indian Railway Catering And Tourism Corporation Limited January 2026 Future,,,-875.0,-5.9754,0.0,Axis Mutual Fund,AXISEAF,,2020-12-05
Larsen & Toubro Limited January 2026 Future,,,-175.0,-7.1314,0.0,Axis Mutual Fund,AXISEAF,,2020-12-05
